"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cdh12",56.625,2.35660044842925,0.230033728089297,10.2445866004242,1.25158769906992e-24,2.76137794045796e-20
"Oprm1",56,2.29123108248682,0.226947032088206,10.0958847595606,5.76092029699997e-24,6.35515922563551e-20
"Cntn6",60.625,1.90877507047414,0.205112466159854,9.30599249382794,1.32746676875001e-20,9.76263310631051e-17
"St6gal2",58.875,1.94698143727232,0.211013442795411,9.22681233707005,2.78805496757529e-20,1.53782141874034e-16
"ENSMUSG00000134835",56,1.99196248827063,0.218023420459472,9.13646104658246,6.45294575441109e-20,2.84742684359144e-16
"Gm12762",47.75,2.69826162104428,0.306787711771155,8.79520762245202,1.42783716331485e-18,5.25039522236927e-15
"Iqschfp",53.5,1.92940783747797,0.220670079525856,8.74340482236469,2.26188433387563e-18,7.12913629404259e-15
"E130006D01Rik",51.25,2.23095413093184,0.263361651221673,8.47106676535088,2.43155810460355e-17,6.70593330773351e-14
"Cntn5",61,1.6166712131063,0.194981800002919,8.29139546912635,1.11927471426723e-16,2.74383978009755e-13
"Car10",61.5,1.68038189960007,0.203777957550087,8.24614163279679,1.63590762794773e-16,3.28118454503734e-13
"Proc",38.75,-8.71880707779189,1.05699389545151,-8.24868252816874,1.60150263564791e-16,3.28118454503734e-13
"Cyp2e1",37.625,-8.67630243444933,1.05520305390109,-8.22240079989631,1.9946927549825e-16,3.66740885443157e-13
"ENSMUSG00000140523",50.875,2.03121847204141,0.248269101570097,8.18151940453173,2.80286952546781e-16,4.75690079541509e-13
"9130230L23Rik",35.75,-8.60255412174308,1.05786620086845,-8.13198693245034,4.22310354498718e-16,5.75896445957135e-13
"ENSMUSG00000143335",55.625,1.73135180812818,0.213357873640642,8.11477813583899,4.86673140520752e-16,5.75896445957135e-13
"Gm28175",56.875,1.70147633736628,0.209213116842977,8.13274216761137,4.196866587989e-16,5.75896445957135e-13
"Gm30340",53.875,1.84201572243307,0.226305402074681,8.13951282446716,3.9687156421626e-16,5.75896445957135e-13
"Nr1i2",35.375,-8.58734103105567,1.05853385002383,-8.11248599264193,4.95944906548772e-16,5.75896445957135e-13
"Them7",35.75,-8.60255407030522,1.06033809059987,-8.11302936918778,4.93731319053835e-16,5.75896445957135e-13
"Prr18",63.75,1.56241978624663,0.193097234293225,8.0913628409304,5.90008071960437e-16,6.50867404583156e-13
"Plin1",36.625,-8.63743935169662,1.06971995049365,-8.07448654922312,6.77611692902099e-16,7.11911751452334e-13
"Gm26618",46.75,2.27612405389758,0.282292159023303,8.06300841572325,7.4439397045367e-16,7.14068007396492e-13
"Stap1",35.5,-8.59242976652444,1.06503463551275,-8.06774679434502,7.16073581030524e-16,7.14068007396492e-13
"Golt1a",34.25,-8.54071482421464,1.06333782379823,-8.03198629171991,9.5907089072434e-16,8.46399242482044e-13
"Slc23a1",33.75,-8.51949842924397,1.06010771546595,-8.03644601860043,9.248166416335e-16,8.46399242482044e-13
"Tmem63c",61.625,1.55777752216611,0.195965574115878,7.94924072350058,1.87658091561944e-15,1.59242325928122e-12
"Gm35330",32.625,-8.47058873184615,1.06748909541296,-7.9350587919301,2.10395635192688e-15,1.6762678357702e-12
"Osgin1",32.5,-8.46505054146136,1.06812683217629,-7.92513612284595,2.27896546018974e-15,1.6762678357702e-12
"Prodh2",32.75,-8.47610569776585,1.06906873167026,-7.92849462964199,2.21818249524625e-15,1.6762678357702e-12
"Silc1",66.625,1.43370121862233,0.180905971095257,7.92511828074158,2.27929271056094e-15,1.6762678357702e-12
"Cntnap5c",59.25,1.81323126735068,0.229467653058468,7.9019035719543,2.74675883012613e-15,1.89380437715852e-12
"Htr1f",56.875,1.70147632435867,0.215253662089884,7.90451743231289,2.68973537872125e-15,1.89380437715852e-12
"Sez6",67.7500000000001,1.37261994462141,0.173807499310992,7.8973574216461,2.84878585370858e-15,1.90462916031432e-12
"ENSMUSG00000141017",48.375,2.17905567934578,0.27636931661408,7.88457888901104,3.15597979083636e-15,2.04795241544773e-12
"Apoh",31.875,-8.43703611576832,1.07207894316156,-7.86978997170446,3.55237119524421e-15,2.23931330516209e-12
"Gm45341",41.125,2.31667199499412,0.294923313219456,7.85516739827975,3.99238572270559e-15,2.44677795000148e-12
"Gm56632",32.5,-8.4650502590664,1.08172611031686,-7.82550238764859,5.0563359603518e-15,3.01507946738491e-12
"Gm49936",51.25,1.74919169991022,0.22386437505073,7.81362241988628,5.55673917958208e-15,3.22627201366104e-12
"Hnf1b",29.25,-8.31304764133642,1.06720264946468,-7.78956803143842,6.72386714505615e-15,3.80381232875317e-12
"Gm36738",30.875,-8.39104979613119,1.08019066140326,-7.76811918113648,7.96600918906343e-15,4.39385151845766e-12
"Kbtbd12",29.25,-8.31304751745535,1.07327292653703,-7.74551124128122,9.51980298557521e-15,5.12281495782307e-12
"Epha6",66.5000000000001,1.36203194169824,0.17826211608643,7.64061356164906,2.16189019232684e-14,1.10925077472807e-11
"Gm2824",57.375,1.56408360910417,0.204691713102158,7.64116722362652,2.1526126492358e-14,1.10925077472807e-11
"Klhl1",62.75,1.51679084221798,0.19880487400968,7.62954555200758,2.35582680875175e-14,1.18128652003386e-11
"Gpr149",63.375,1.41895241679773,0.186743569931093,7.59840040179865,2.99813469519675e-14,1.46995212844724e-11
"Gm41492",37.5,3.22416711161178,0.424532537923984,7.5946289709108,3.08675582742961e-14,1.48050203957781e-11
"2410003L11Rik",26,-8.14312270761197,1.07354630900933,-7.5852551858023,3.31833314119102e-14,1.55771029987441e-11
"B230209E15Rik",55.375,1.61551978965798,0.213483405771144,7.56742559836164,3.80693077410686e-14,1.74983986810666e-11
"Nmbr",65.375,1.42389993053666,0.188520550636036,7.5530223401781,4.25272012097351e-14,1.91485232712324e-11
"Gm37988",25.625,-8.12216303420128,1.07748261669069,-7.53809194541549,4.76897581983686e-14,2.10435827026121e-11
"Gm6871",26.5,-8.170603100174,1.08894072736537,-7.50325788616827,6.22509095889765e-14,2.69302317306194e-11
"Gm27243",51.875,1.67442393174649,0.223856892868271,7.47988552102259,7.43873817124051e-14,3.15617077446306e-11
"4732419C18Rik",25,-8.0865390687696,1.08232848608259,-7.4714277345118,7.93293309595703e-14,3.30234533766226e-11
"Gm56681",60.5,1.55334034971787,0.208005641710531,7.46777989742969,8.1559113291896e-14,3.33229391955389e-11
"Phgr1",24.625,-8.06473475739883,1.08067330799068,-7.4626945051449,8.47707403257936e-14,3.40053971601452e-11
"ENSMUSG00000143590",58,1.61832090605565,0.216994827437818,7.45787779904294,8.79271593843747e-14,3.46417306695975e-11
"ENSMUSG00000122523",59.125,1.89917534175594,0.255884791048347,7.42199383548791,1.15370184552553e-13,4.46563575751398e-11
"Gm2682",23.375,-7.98957755738201,1.07709565066082,-7.41770478088947,1.19167353034356e-13,4.53308501723621e-11
"Gm12781",23.75,-8.01253858659556,1.08173090540643,-7.4071458498129,1.29046516766877e-13,4.82568355835189e-11
"5730522E02Rik",45.25,1.96047134037345,0.265076101155457,7.39588115197042,1.40473606214695e-13,5.13436598709527e-11
"A230077H06Rik",57.625,1.47440397460288,0.19939233307022,7.394486798465,1.41955457196579e-13,5.13436598709527e-11
"Cdh9",58,1.55198500471729,0.210071046756247,7.38790532385034,1.49159884729446e-13,5.30792667223511e-11
"Rit2",67.625,1.36892544090433,0.185496134343919,7.37980576116089,1.58520628889472e-13,5.55149307172764e-11
"Gm47414",48.75,2.04669290041167,0.277637701610374,7.3718118560278,1.68324463061225e-13,5.7401513421453e-11
"Ralyl",68.0000000000001,1.2886761746056,0.174826059860404,7.37119040281859,1.69111107845463e-13,5.7401513421453e-11
"Clec4b2",23.375,-7.98957735556454,1.0872306628572,-7.34855778861885,2.00356842089408e-13,6.60284218536668e-11
"Hsf4",24.125,-8.03513975431336,1.09344628046225,-7.34845405566385,2.00512362969482e-13,6.60284218536668e-11
"A330008L17Rik",69.2500000000001,1.27485972742454,0.174000055654884,7.3267776991585,2.35752396195145e-13,7.54821569472422e-11
"Cpne4",65.375,1.55204769441719,0.211837346854956,7.32660089195638,2.36063492243109e-13,7.54821569472422e-11
"Plpp4",58.25,1.47955010410973,0.202094637170463,7.32107553582312,2.45991316383349e-13,7.75329487623689e-11
"Gm53207",21.5,-7.86894797542634,1.078009495359,-7.29951638580494,2.8880389390605e-13,8.97447931161855e-11
"Gm28563",56.625,1.62343644722369,0.223103468180064,7.27660784687326,3.4231847123722e-13,1.0489683931815e-10
"H2-T9",21.125,-7.84356265407396,1.07968120563775,-7.26470240763423,3.73860421585824e-13,1.12992910704768e-10
"Btnl7-ps",21.375,-7.86053566098057,1.08231706802491,-7.26269213819667,3.79460934606147e-13,1.13135764867776e-10
"Gm31718",25,-8.08653842613611,1.11376429500106,-7.26054737293263,3.8552699310899e-13,1.13411760652849e-10
"Tnfrsf26",21.375,-7.86053562956011,1.08391584150711,-7.25197965427884,4.10723595248522e-13,1.19234140552212e-10
"Tas1r3",20.125,-7.7736003140078,1.07266688768976,-7.24698450490078,4.26152697268072e-13,1.22106583893837e-10
