"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cdh12",56.625,2.35660048003361,0.217512173705945,10.8343383263665,2.36670152373261e-27,3.42191624842706e-23
"Oprm1",56.75,2.31431472607045,0.214097312084016,10.8096393342961,3.0988600846068e-27,3.42191624842706e-23
"Gm40830",54.75,2.25191817470438,0.221196265796226,10.1806337760644,2.41980178800086e-24,1.78137741626663e-20
"Cntn6",60.625,1.90877509296795,0.1942803919171,9.824846831596,8.80077145294649e-23,4.85912593845808e-19
"Iqschfp",55.125,1.98369802318523,0.205842099686129,9.63698886772923,5.58007796331334e-22,2.4647204363955e-18
"ENSMUSG00000141017",50.375,2.25009512441983,0.235077402675871,9.57172020282313,1.05141499855387e-21,3.31721432043746e-18
"St6gal2",58,1.91972325435538,0.200278114631129,9.58528722866759,9.22007408712148e-22,3.31721432043746e-18
"Gm56495",49.875,2.41503722150459,0.254545613459639,9.4876403041513,2.36323165374153e-21,6.52399638411021e-18
"ENSMUSG00000134835",55,1.95935784569012,0.20841837102548,9.40108031767788,5.40056829471709e-21,1.32523945320919e-17
"E130006D01Rik",51.25,2.23095419023016,0.241747105077444,9.2284628993405,2.74543222164582e-20,6.0632870615048e-17
"ENSMUSG00000140523",53.25,2.11269991557263,0.229824701608098,9.19265814679595,3.83251426902345e-20,7.27762116580224e-17
"ENSMUSG00000143335",58.125,1.81334520972238,0.197332405898948,9.1892925617649,3.95433343851604e-20,7.27762116580224e-17
"Gm28175",57.875,1.73426630045758,0.194532883498289,8.91502901345127,4.87688554877708e-19,8.28507825728783e-16
"Gm26618",47.5,2.30378046313566,0.258955190733692,8.89644442580357,5.76643179479401e-19,9.09654615628756e-16
"Gm27243",55.375,1.79690797692838,0.202678714212153,8.86579522626864,7.59599644458863e-19,1.11838387652493e-15
"Gm2164",58.25,1.85354098977528,0.20983960304234,8.83313236825596,1.01784455081041e-18,1.4049435565405e-15
"Gm30340",53.25,1.82045041648002,0.206613129742662,8.81091351138916,1.24130112367084e-18,1.61259619507474e-15
"Cntn5",61.125,1.62058628257338,0.184396835760694,8.78857967322466,1.51462603906572e-18,1.85836200404258e-15
"Car10",60.75,1.65711214269754,0.192808306757652,8.59460969583861,8.35482833341428e-18,9.71138861807655e-15
"Cntnap5c",59.75,1.82878611773611,0.213023881641638,8.58488777710195,9.09251433301282e-18,1.00404089522294e-14
"Gm57333",42.25,-8.84356236227321,1.03833359186862,-8.51707238553082,1.63637228728896e-17,1.72091818879889e-14
"Tmem63c",61.625,1.55777754203844,0.185146518275978,8.41375553018193,3.97087875230453e-17,3.98622078384752e-14
"4930488L21Rik",42.25,2.81713540576991,0.336117668764992,8.38139636074773,5.23034448769743e-17,5.0222677395999e-14
"ENSMUSG00000124476",69.25,1.37706954939627,0.164590038322739,8.36666400609269,5.92724006370582e-17,5.45429570028929e-14
"Klhl1",63.625,1.54368609259511,0.185639844366352,8.31548904743056,9.13746833632484e-17,8.07203952830936e-14
"Gm53013",60.375,1.61297672935326,0.194920460758403,8.27505087499506,1.28400784138173e-16,1.09066589141983e-13
"Gm29260",49.625,2.10209791236774,0.255042223879032,8.2421564570609,1.69134196042685e-16,1.38345508133433e-13
"Gm20708",52.375,1.84975716210799,0.225131263584964,8.21634957603256,2.09791330744764e-16,1.65472912124932e-13
"Sez6",67.5000000000001,1.36522150442114,0.16630600696039,8.20909316129692,2.22865265753901e-16,1.69723427385342e-13
"ENSMUSG00000143590",59.125,1.65494985556936,0.202694844015255,8.16473583040332,3.22139403473801e-16,2.37148290857296e-13
