"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Abcc9",45.25,-8.94252514131677,1.19534251761979,-7.48114035056954,7.36804376798793e-14,1.29350805106229e-10
"Ace2",43,-8.86894396944233,1.2013382640499,-7.38255346961455,1.55282137486831e-13,1.29350805106229e-10
"Adgre1",43.5,-8.88562270545279,1.20055479237015,-7.40126378397995,1.34894465172458e-13,1.29350805106229e-10
"Adgrl4",45.875,-8.96231551877653,1.1936954112085,-7.50804219788621,6.00181608748965e-14,1.29350805106229e-10
"Agmo",43.25,-8.8773074358649,1.20110741575348,-7.39093549788465,1.45799339197232e-13,1.29350805106229e-10
"Cldn11",43,-8.86894395299291,1.2020165846101,-7.37838734219277,1.60218277516717e-13,1.29350805106229e-10
"Col4a6",44.375,-8.91435443005835,1.19859658069068,-7.43732676504176,1.02743185343303e-13,1.29350805106229e-10
"Entpd1",45.75,-8.95837909871638,1.1941532498961,-7.50186720129584,6.29150964161159e-14,1.29350805106229e-10
"Fgd3",43.875,-8.89800646517227,1.19836429017328,-7.42512651464741,1.12672165951562e-13,1.29350805106229e-10
"Gbp5",44.125,-8.90620358808292,1.19911566251516,-7.42730986383918,1.1082852527402e-13,1.29350805106229e-10
"Itgb6",45.25,-8.94252514638834,1.19513377705119,-7.48244700141655,7.29513179869169e-14,1.29350805106229e-10
"Kmo",42.75,-8.8605317364298,1.2015603394023,-7.37418791705239,1.65349823912273e-13,1.29350805106229e-10
"Lsp1",47,-8.99726813721387,1.19084016138735,-7.5553952822114,4.17589679855459e-14,1.29350805106229e-10
"Ltf",45.25,-8.94252511431336,1.19645333074578,-7.47419467564127,7.76780752587108e-14,1.29350805106229e-10
"Marchf1",45.25,-8.94252511431335,1.19645333074578,-7.47419467564127,7.76780752587113e-14,1.29350805106229e-10
"Nexn",44.625,-8.9224595152612,1.19665187814621,-7.4561864467078,8.90626906747285e-14,1.29350805106229e-10
"Ntn4",45.375,-8.94650500439214,1.19460719098397,-7.48907680442063,6.93597458993493e-14,1.29350805106229e-10
"Oasl2",43.5,-8.88562272438365,1.19977444902237,-7.40607764369717,1.30089686871613e-13,1.29350805106229e-10
"P2ry14",44.75,-8.92649503546163,1.1961262117695,-7.462837071563,8.46790330988624e-14,1.29350805106229e-10
"Plek",44.125,-8.9062036162434,1.19795565389424,-7.43450192608691,1.04962698989268e-13,1.29350805106229e-10
"Pparg",43.25,-8.87730745860468,1.20016966331314,-7.39671042350658,1.39599516288784e-13,1.29350805106229e-10
"Samsn1",43.25,-8.87730742374188,1.20160704580383,-7.38786232549366,1.4920811457165e-13,1.29350805106229e-10
"Slc22a3",46.125,-8.97015628017497,1.19289817342133,-7.51963284045263,5.49302813949662e-14,1.29350805106229e-10
"Smpd3",45.125,-8.9385342901338,1.19520699624553,-7.47864957133966,7.50902058313035e-14,1.29350805106229e-10
"Tbxas1",44.875,-8.93051928455118,1.19619588346343,-7.46576660897213,8.28160241827473e-14,1.29350805106229e-10
"Timd2",43.625,-8.8897624501145,1.19971881866164,-7.40987163978269,1.26421719089795e-13,1.29350805106229e-10
"Tlr4",43.625,-8.88976246600699,1.1990635638872,-7.41392094109475,1.2261903311363e-13,1.29350805106229e-10
"Tmem154",43.125,-8.87313176057191,1.20132872756685,-7.3860980404118,1.51200323733628e-13,1.29350805106229e-10
