"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2900052N01Rik",35.7102003220041,-8.60552790628056,1.08803262377328,-7.90925540121834,2.5893291020282e-15,2.11875531734691e-11
"Gm45447",33.9530791266317,-8.53274642137922,1.08951155445392,-7.83171723741465,4.81250923851113e-15,2.11875531734691e-11
"Grik4",33.7032710408084,-8.52208965838457,1.08543704840241,-7.85129793655716,4.1175349241544e-15,2.11875531734691e-11
"Platr4",34.0806852907546,-8.53814842131978,1.08444192307948,-7.87331090730433,3.45376933579426e-15,2.11875531734691e-11
"Slc4a5",35.7092233576578,-8.60549226184031,1.08723942708484,-7.91499282261477,2.47267356939108e-15,2.11875531734691e-11
"Pcsk2",32.9514615349747,-8.4895431590892,1.09644424128282,-7.74279515496075,9.72546637130208e-15,3.56811152052454e-11
"Tenm1",31.3223490959961,-8.41639542536986,1.09007256560613,-7.72094967887754,1.15466135529419e-14,3.63108005915585e-11
"Gm29683",31.8244086066699,-8.4393320698369,1.09761924369195,-7.68876103287907,1.4856665211271e-14,3.63377523661899e-11
"Tcerg1l",31.1990562607237,-8.41069565460508,1.0929529612334,-7.69538667529987,1.41066911022666e-14,3.63377523661899e-11
"Gm34907",29.5695765865968,-8.33330995319398,1.09097549405793,-7.63840251094719,2.19933387275052e-14,4.84139365408572e-11
"Iigp1c",29.0673747791596,-8.3086026838633,1.09373138439467,-7.59656603294945,3.04092162826e-14,6.08543707298976e-11
"ENSMUSG00000135323",54.3914034656592,2.05920594181002,0.27249620472026,7.55682430118232,4.13029280436087e-14,6.99385657710738e-11
"Sox2ot",28.5670481537132,-8.28354928212979,1.09495305017388,-7.56520955927228,3.87239815489755e-14,6.99385657710738e-11
"Slc35f3",28.3159190166195,-8.27081349288757,1.09901565420204,-7.52565576410534,5.2456376246022e-14,8.24801578788345e-11
"Frmpd4",26.5620958019814,-8.17856791154519,1.09613873018182,-7.4612525644346,8.57037869614418e-14,1.25773164158815e-10
"3300002A11Rik",28.0646960907826,-8.25795901287306,1.11162213874748,-7.42874644632187,1.09631666660161e-13,1.3039470275275e-10
"A330049N07Rik",26.8139447082873,-8.19217496013925,1.10155612949497,-7.43691105771897,1.03066893631452e-13,1.3039470275275e-10
"Ctcflos",66.6354308947334,1.47084854718435,0.198086783657543,7.4252735090453,1.12547101817211e-13,1.3039470275275e-10
"Gm11630",26.0615048980895,-8.15111562346173,1.09710750671931,-7.42964164727676,1.08892282440627e-13,1.3039470275275e-10
"Olfm3",29.5688338166133,-8.33327623970129,1.12446278834309,-7.41089551925546,1.2544939048632e-13,1.38075871638768e-10
"Brinp3",25.5612102550156,-8.12314597250847,1.10347395219501,-7.36142974317616,1.81950771760753e-13,1.90727730417593e-10
"Asic2",26.0598835364826,-8.15103490210619,1.10999271303195,-7.34332289429325,2.08355047120062e-13,2.08478166011542e-10
"Fbxl22",55.7703421728857,1.65992441448433,0.226746892771167,7.32060490089947,2.46855652901653e-13,2.3626232553583e-10
"Kcnip1",23.4297398861707,-7.99754039434842,1.0982120820665,-7.28232781713661,3.28108580021379e-13,3.00943923833776e-10
"Tmem132d",26.1849707223959,-8.15794310739015,1.12266935006673,-7.26655903352598,3.68760102409287e-13,3.24700645373426e-10
"4933412O06Rik",26.811784672685,-8.19206900093385,1.12948858358642,-7.25290110938695,4.07937935821253e-13,3.45382222355125e-10
"ENSMUSG00000131779",22.9291462157164,-7.96637753613332,1.10073989576692,-7.2372933576491,4.57727384115789e-13,3.73183440982995e-10
"Car1",26.0585981095656,-8.15096816618215,1.12792394804612,-7.22652283454209,4.95517342510167e-13,3.76131836575045e-10
"Gm12781",23.8047589641528,-8.02045470515547,1.10949118666075,-7.22894855009593,4.86747777008608e-13,3.76131836575045e-10
"Prima1",25.5587020020984,-8.12301772622624,1.12693576003193,-7.20805747258927,5.67556767902417e-13,4.16454237727864e-10
"Car5a",23.1796036308831,-7.98205186787423,1.10859990192616,-7.20011958688218,6.01597730239239e-13,4.27192607605044e-10
"Spdya",23.9301845175072,-8.02803461415883,1.1175699588551,-7.18347388505607,6.79620223387076e-13,4.67514999294365e-10
"D130043K22Rik",22.9281041511217,-7.96631922916107,1.11333391603308,-7.15537280813815,8.34458286263401e-13,5.56634250167159e-10
"Kcnh6",22.0525814019949,-7.91013856876918,1.10782739165386,-7.14022656269604,9.31772106962666e-13,6.03267629134388e-10
"Gm14541",22.1771157472898,-7.9182686334099,1.1145002675329,-7.10477050933159,1.20522638156702e-12,7.58018523926707e-10
"5033421B08Rik",20.2973148134472,-7.79048981208878,1.09946046517355,-7.08573892273522,1.38304332486438e-12,8.22836019195666e-10
"Gm31282",22.0521379932029,-7.91011314298266,1.11604762548138,-7.0876125376557,1.36445339205057e-12,8.22836019195666e-10
"ENSMUSG00000134017",57.8921445168776,1.76571280727522,0.249531754007183,7.07610465970755,1.48262905704863e-12,8.58871406126616e-10
"ENSMUSG00000129742",24.6847226306632,-8.07280713247764,1.1425007725404,-7.0659095612928,1.59567318317575e-12,9.00655225160201e-10
"Ralyl",19.7965671789383,-7.754446870516,1.105033304526,-7.01738747488902,2.26055079190968e-12,1.24403761455769e-09
"ENSMUSG00000124566",20.1734584051181,-7.78164629821409,1.11443767720548,-6.98257646648041,2.89815129511043e-12,1.55602449900649e-09
"Fcrla",19.9205720181973,-7.76346699081336,1.11487412381324,-6.963536802038,3.31834422841743e-12,1.7392074166703e-09
"Epha6",18.668374154273,-7.66979901959194,1.1030232568976,-6.9534336394359,3.56500688923167e-12,1.82503480587574e-09
"ENSMUSG00000134718",18.6684651027274,-7.66980491580468,1.1048341980096,-6.94204155666264,3.86473480652503e-12,1.93350925672808e-09
"Galntl6",19.6704563380759,-7.74523396410822,1.11995243984622,-6.91568113836308,4.65620655995387e-12,2.27771277787255e-09
"Gm57034",19.1711199015996,-7.70812176949837,1.11822089103073,-6.89320136238321,5.4550570595083e-12,2.61048197936861e-09
"ENSMUSG00000130499",18.4177311336361,-7.65029831828129,1.11047954066171,-6.88918439120693,5.61131679069776e-12,2.62812588326872e-09
"Platr16",20.2984420261409,-7.79056042474046,1.13189067632337,-6.88278522626049,5.86934865203583e-12,2.69170774744301e-09
"Nxph1",18.7948841389298,-7.67953008349761,1.11678604130245,-6.87645600811894,6.13598717247634e-12,2.75613478834748e-09
"Rit2",18.920649261809,-7.68914744274498,1.11864955741625,-6.87359807347052,6.26024346601436e-12,2.75613478834748e-09
"Gm41804",23.3031933351615,-7.98973054133826,1.16320934533578,-6.8686952811851,6.47917359073876e-12,2.79658918143005e-09
"Spag8",16.9148754671183,-7.52748792444115,1.10132939722644,-6.83491055754818,8.20562087665907e-12,3.47366023765185e-09
"5830418P13Rik",16.2885486561574,-7.47305096174369,1.09805371214922,-6.80572441863224,1.00542012869555e-11,4.17590816848586e-09
"BC006965",16.6645391653611,-7.50597331744619,1.10500454986472,-6.79270806474517,1.10047931834033e-11,4.40451840629557e-09
"ENSMUSG00000142523",20.1699225286057,-7.78141830242729,1.14531653173129,-6.79412030372485,1.08975421975517e-11,4.40451840629557e-09
