"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lnx1",40.4982842662883,-8.78247116844665,1.07179793432431,-8.1941482505127,2.52373854886441e-16,5.55424379834079e-12
"ENSMUSG00000140419",47.4997881810233,2.56298903588717,0.331688939012032,7.72708623785067,1.10036107246126e-14,4.10340143304158e-11
"F930017D23Rik",57.8744492706605,1.76963093097639,0.229079009188683,7.72498072714647,1.11870268076379e-14,4.10340143304158e-11
"Gm10642",33.6236019947534,-8.51408452085554,1.08779860709719,-7.8268941192851,5.00069892367061e-15,4.10340143304158e-11
"Gm30230",46.7497458172279,2.63053554288943,0.339894823503077,7.73926332792652,9.99944883935243e-15,4.10340143304158e-11
"Kcnh5",32.8735596309581,-8.48153807829665,1.0968452044065,-7.73266641839951,1.05317006843537e-14,4.10340143304158e-11
"Radil",30.6237290861395,-8.3792603127937,1.08953572144752,-7.69067057449142,1.46365849016943e-14,4.60174229309269e-11
"Mettl21e",31.373432539572,-8.41415456762404,1.1015608355475,-7.63839299301344,2.19949642794831e-14,6.0508146732858e-11
"Gm56506",28.4986655404464,-8.27550543854093,1.09895876394673,-7.5303147943612,5.06181405364821e-14,1.1140040369269e-10
"Tmem266",28.7489409051162,-8.28811836477091,1.10035011867702,-7.53225561945314,4.98712052565174e-14,1.1140040369269e-10
"Tmprss4",30.6233901757767,-8.379245045456,1.11758746763333,-7.49761901249696,6.49874618951999e-14,1.30022187399051e-10
"ENSMUSG00000130420",29.2488138137302,-8.31298789126434,1.11655967556513,-7.44518011279321,9.68122435466135e-14,1.52188846855276e-10
"Ush1c",27.2489832689116,-8.21081206219419,1.10196770943915,-7.45104597154947,9.26030847871105e-14,1.52188846855276e-10
"Xirp2",26.9988773594232,-8.19750977248599,1.10022143068411,-7.45078176434794,9.27887425208978e-14,1.52188846855276e-10
"Hoxd4",26.9990044508092,-8.1975157317196,1.10925471344375,-7.3901112452972,1.46706019988625e-13,1.98575619415198e-10
"Ism1",27.4987290861395,-8.22397557926617,1.11473646904728,-7.37750652967769,1.6128146399561e-13,1.98575619415198e-10
"Ptchd1",29.3735596309581,-8.31912857000834,1.12777639685785,-7.37657623726359,1.62411902466083e-13,1.98575619415198e-10
"Trim72",25.2488773594232,-8.10083023583818,1.0980101694331,-7.37773698400321,1.61002625937362e-13,1.98575619415198e-10
