"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000139314",52.6248346574838,4.25163079003918,0.492726324067214,8.62878758931338,6.200572158522e-18,1.35693321117095e-13
"Pam16l",54.1246693149675,3.59956655302995,0.44392349226452,8.10852909511055,5.12361970191575e-16,5.60626467783621e-12
"Angpt1",45.1219907662036,-8.93843841424976,1.18232958960353,-7.56002259678459,4.02999343585544e-14,6.74855463355311e-11
"Car14",45.2469576977004,-8.94242851053156,1.18210916282926,-7.5648077112682,3.88438777328034e-14,6.74855463355311e-11
"Clec4a3",44.8719576977004,-8.93042184253338,1.18403873653716,-7.54233925542954,4.61614949780142e-14,6.74855463355311e-11
"Cox4i2",44.6219576977004,-8.92236152135996,1.18536068422204,-7.5271279367729,5.18685436310615e-14,6.74855463355311e-11
"Cpn1",44.4969576977004,-8.91831443454492,1.18504222576358,-7.52573557351379,5.24243414231415e-14,6.74855463355311e-11
"Emcn",46.1220569032101,-8.97006444716802,1.17920322585801,-7.60688594677242,2.80778881091375e-14,6.74855463355311e-11
"F13a1",45.9968915606938,-8.96614412921674,1.179610093199,-7.60093880249987,2.93990121832712e-14,6.74855463355311e-11
"Gm49909",46.4969246291971,-8.9817430182242,1.17764893605216,-7.62684255320926,2.40573109668921e-14,6.74855463355311e-11
"Gpr65",45.9969576977004,-8.96614614713493,1.17922086389764,-7.60344938055069,2.88340066747322e-14,6.74855463355311e-11
"Icam2",46.4970238347069,-8.98174599054716,1.17798643436885,-7.62465995235288,2.44678506197598e-14,6.74855463355311e-11
"Myoz2",44.6221230402166,-8.92236673349429,1.18388569089036,-7.53651032540486,4.82714764934282e-14,6.74855463355311e-11
"Pin4",47.4968584921906,-9.01243984346632,1.17471068129911,-7.67205064782376,1.6926808450742e-14,6.74855463355311e-11
"Ptn",44.9970238347069,-8.93443725792234,1.18229514848934,-7.55685859773526,4.12920434509495e-14,6.74855463355311e-11
"S100b",46.4968584921906,-8.98174101646253,1.17825993262987,-7.62288589107442,2.48066157980535e-14,6.74855463355311e-11
"Sult1a1",45.7470569032101,-8.95828653992087,1.1802510306842,-7.59015354108834,3.19526634742294e-14,6.74855463355311e-11
"Adgre1",43.4970238347069,-8.88552438787355,1.18863195474618,-7.4754210943041,7.69570239567892e-14,6.8392036776926e-11
"Apom",44.3719907662036,-8.91425691499027,1.18834374187075,-7.50141276543181,6.31336400756337e-14,6.8392036776926e-11
"C5ar1",43.8720569032101,-8.89790999334095,1.18744386521461,-7.49333105673406,6.71472479071832e-14,6.8392036776926e-11
"Cd28",43.3722222457264,-8.88137887134811,1.18839371171327,-7.47343139214705,7.81301827555817e-14,6.8392036776926e-11
"Cps1",43.9969246291971,-8.90201043812203,1.18797010257698,-7.49346336141919,6.70795648137901e-14,6.8392036776926e-11
"ENSMUSG00000132274",43.6219907662036,-8.88966332424618,1.18873587038552,-7.47824941243103,7.53191523579555e-14,6.8392036776926e-11
"Insc",43.6220899717134,-8.8896665429469,1.18703485830453,-7.4889683994994,6.94170500759253e-14,6.8392036776926e-11
"Mir99ahg",43.8721561087199,-8.8979131764955,1.1864302053308,-7.49973587701652,6.39465529066345e-14,6.8392036776926e-11
"Aoah",42.6223875882427,-8.85621872882731,1.19261698687977,-7.42587002051491,1.12040983222599e-13,8.41886095125062e-11
"Gper1",42.4971561087199,-8.85197391351784,1.1912054185122,-7.43110615176166,1.07693239829635e-13,8.41886095125062e-11
"Ldb2",42.4971561087199,-8.85197390701084,1.1914740962833,-7.42943042960298,1.09066293041481e-13,8.41886095125062e-11
"Scgb1a1",42.6223545197394,-8.85621763031186,1.19324725423177,-7.4219467917516,1.15411181016961e-13,8.41886095125062e-11
"Slpi",42.9969246291971,-8.86884121417525,1.19348871755927,-7.43102224905182,1.07761582212598e-13,8.41886095125062e-11
"Cfb",42.4974206567459,-8.85198255710689,1.19348497067293,-7.41692000705782,1.19875297136099e-13,8.4624225887948e-11
"Cd86",42.1222883827329,-8.83919128520724,1.19311779107877,-7.40848166987369,1.27753566287925e-13,8.47199710498471e-11
"Opcml",42.1220569032101,-8.83918360951936,1.19308468086465,-7.4086808348871,1.27561886643468e-13,8.47199710498471e-11
"Gm3650",41.8721891772231,-8.83059995582065,1.19310308908002,-7.40137213342541,1.34784425865654e-13,8.67535992836464e-11
"Card9",41.372420656746,-8.81327670097389,1.19660090487802,-7.36525993340469,1.76802025914313e-13,1.00723711927988e-10
"ENSMUSG00000133723",41.3720899717134,-8.81326551240414,1.19747751391029,-7.35985887837254,1.84104755854484e-13,1.00723711927988e-10
"Gfap",41.1221891772231,-8.80452469779383,1.19618355043055,-7.3605131040506,1.83204648387141e-13,1.00723711927988e-10
"Lipc",41.4973545197394,-8.81762672476535,1.1979092617044,-7.36084694112771,1.82747010654835e-13,1.00723711927988e-10
"P4ha3",41.3723214512362,-8.81327334790574,1.19673313533899,-7.36444332295457,1.77887610235601e-13,1.00723711927988e-10
"Tfec",41.4974206567459,-8.81762897255576,1.19701896075275,-7.36632356016377,1.75397818839191e-13,1.00723711927988e-10
"Rasal3",40.9973214512362,-8.80013714236064,1.19650607872724,-7.35486204275838,1.91124406131273e-13,1.02013817165287e-10
"Chl1",41.1222883827329,-8.80452800449724,1.19880025207838,-7.3444495771774,2.06607561692216e-13,1.07652378096963e-10
"Egr2",40.9974206567459,-8.80014041698163,1.20103763418851,-7.32711462695133,2.35160679114017e-13,1.18676675718171e-10
"Wdfy4",40.7475198622557,-8.79131946164575,1.20015369832259,-7.32516133053043,2.38611484719407e-13,1.18676675718171e-10
"Acsm3",40.747552930759,-8.79132057975355,1.20086282564177,-7.32083664514745,2.46429674797228e-13,1.1984148896139e-10
"Fam20a",40.2472553142297,-8.77349797711221,1.19991079733665,-7.31179184034851,2.63603257219037e-13,1.2061537681974e-10
"Fbp1",41.1225198622557,-8.8045357477724,1.2042354951796,-7.31130728417808,2.64555752483437e-13,1.2061537681974e-10
"Klhdc9",40.2473875882427,-8.77350257941104,1.19940480033572,-7.3148803281055,2.57610870071525e-13,1.2061537681974e-10
"Dgkb",40.2472553142297,-8.77349793822542,1.20149465670728,-7.30215310509107,2.83198740791665e-13,1.26480025377241e-10
"Ptprr",40.9970569032101,-8.80012785253177,1.20737274818215,-7.28865867295865,3.13056047541564e-13,1.37018370887992e-10
"Rpl3l",40.4973214512362,-8.78243381978926,1.20565247698554,-7.28438251273512,3.2314694464592e-13,1.38661720326104e-10
"Arhgap15",39.3726190677655,-8.74179979441089,1.20660739252206,-7.24494135257924,4.32626367456404e-13,1.8206914279646e-10
"ENSMUSG00000143741",38.8724867937525,-8.72335674900613,1.20579913397589,-7.23450241686819,4.6723902163468e-13,1.902023012321e-10
"Spock3",39.3726521362687,-8.74180092689212,1.20845007944526,-7.23389494988908,4.69334868695548e-13,1.902023012321e-10
"Adra1a",38.8725859992622,-8.72336025182628,1.20848731315761,-7.21841276846616,5.25978593608735e-13,2.09282100773338e-10
"Gm47438",38.3725198622557,-8.70468083363338,1.20767010103201,-7.2078300408322,5.68505241068068e-13,2.15645509516873e-10
"Smco3",39.3722883827329,-8.74178790002243,1.21294003928393,-7.20710638357952,5.71533520013645e-13,2.15645509516873e-10
"Zbtb11os1",38.3724537252492,-8.70467844147925,1.20704562296422,-7.21155710759515,5.53156398224756e-13,2.15645509516873e-10
"Ntf3",38.1225859992622,-8.69525323866405,1.20879100529843,-7.19334707203364,6.3221958655206e-13,2.3449988867975e-10
"Htr2a",37.9975859992622,-8.69051502495886,1.20923539533565,-7.18678518548211,6.63346517602648e-13,2.41944586520272e-10
"Nlrc5",38.3727182732753,-8.70468793678694,1.2129694613291,-7.17634550110508,7.15994787535363e-13,2.56866064433178e-10
"Ccr5",38.2474867937525,-8.69997214539528,1.21560541510223,-7.15690473019455,8.25190015470481e-13,2.86642195215175e-10
