"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"B230312C02Rik",49.7622452138376,2.66327632729395,0.301945936589468,8.82037479085203,1.14077243326737e-18,2.51289351600136e-14
"Zfp936",62.1413482975664,1.7890549497425,0.220700853661041,8.1062439046574,5.22085907093309e-16,5.7502541807257e-12
"Abca6",38.3197900341567,-8.71178854720914,1.09156494551441,-7.981007985836,1.45143074800916e-15,1.02786659482868e-11
"Fgf13",37.6915983745391,-8.68794186257008,1.09283526777423,-7.94990985262104,1.86647284334244e-15,1.02786659482868e-11
"ENSMUSG00000125716",35.9326705096086,-8.61899501316298,1.09608778780945,-7.86341669802579,3.73794957523975e-15,1.37232588738969e-11
"ENSMUSG00000131449",37.440282191698,-8.67829009459228,1.10222244485309,-7.87344708422168,3.45001039840516e-15,1.37232588738969e-11
"Mlip",34.9276033732146,-8.57806627525717,1.1019735772333,-7.78427582337671,7.01136449575786e-15,2.20637624446506e-11
"Cntnap5b",33.7968232579082,-8.53058646709206,1.10071351020326,-7.75005156929236,9.18552375951219e-15,2.52923396718168e-11
"Cyp3a13",33.419925826135,-8.51440729009943,1.1012571173638,-7.73153440359262,1.0625795114889e-14,2.60072238656417e-11
"Gm27252",34.2993019386134,-8.55187807583833,1.1085962402064,-7.71415035130023,1.21790833373433e-14,2.68280847754998e-11
"Adgrb3",32.414858689741,-8.4703537464985,1.11007093599402,-7.63046168658913,2.33914477473529e-14,4.47278887876662e-11
"Caln1",32.0378624604826,-8.45347663562869,1.11152617484459,-7.60528796077218,2.84270221094665e-14,4.47278887876662e-11
"ENSMUSG00000140314",57.5179499774396,1.99136245360516,0.261439948151797,7.6169019604033,2.59836534683681e-14,4.47278887876662e-11
"Kcnj3",32.5403960286797,-8.4759305310599,1.11406438182039,-7.60811553566602,2.78121171872277e-14,4.47278887876662e-11
"Gm45309",32.6662187825755,-8.48149751136427,1.11664704565182,-7.59550436674767,3.0659589303375e-14,4.50246288783163e-11
"Slc6a20a",31.158354618024,-8.41331793075172,1.1138090218041,-7.55364498406039,4.23242875228379e-14,5.82699628470671e-11
"Dok6",30.5301739359048,-8.3839346862444,1.11377611775522,-7.52748649624661,5.1726355984793e-14,6.33015649796122e-11
"ENSMUSG00000143824",58.8958482277376,1.88272758360684,0.249882453755739,7.53445292100107,4.90386388253287e-14,6.33015649796122e-11
"Dpys",29.5251946194976,-8.33564496435471,1.11461497531866,-7.47849719314206,7.51773065793603e-14,8.71581952279026e-11
"Gm47956",29.0226061638088,-8.31087567715836,1.11245774544558,-7.47073379747069,7.97488413082613e-14,8.7835373816919e-11
"ENSMUSG00000127817",56.279236218253,1.89345296844909,0.253865759676903,7.45848109197122,8.75255768269897e-14,9.18101622069014e-11
"ENSMUSG00000139985",49.5422749058562,2.16241846855046,0.290250221052692,7.45018715475119,9.32079123993484e-14,9.3326540651493e-11
"Gm30382",30.1534082341119,-8.36601917715069,1.12499504182029,-7.43649426544505,1.03392453011295e-13,9.90229980405565e-11
"Trpv4",28.2687125027773,-8.27290498759293,1.11722523769261,-7.4048676206768,1.31281361989548e-13,1.20494410079407e-10
"Lsmem1",27.8918370260008,-8.25354163529016,1.11610020061383,-7.39498266441568,1.41426723408759e-13,1.24613914529926e-10
"Hrh2",26.7611337531829,-8.19383777996763,1.11502088789614,-7.34859576974207,2.00299928809413e-13,1.69700262762067e-10
"ENSMUSG00000121926",26.2585013875007,-8.16648345490978,1.11901584443084,-7.29791583877299,2.92259342765138e-13,2.38440326015943e-10
"Sorcs3",25.2534013186116,-8.11017674862065,1.11256905770255,-7.28959401888108,3.10890417410679e-13,2.44581932668658e-10
"Brinp3",25.63039754787,-8.1315543068407,1.11919898486451,-7.2655125824878,3.71626334825795e-13,2.82282238053193e-10
"Galnt13",25.5046406589642,-8.1244587455407,1.12349274065599,-7.23142967599146,4.77935568791165e-13,3.50932156977726e-10
"Hsd17b13",25.6302548403914,-8.13154680542213,1.12755791721609,-7.21164445858243,5.52801592214112e-13,3.85726319939624e-10
"Nkain3",25.1278420246763,-8.10298516935025,1.12388495566627,-7.20979948036284,5.60343301165242e-13,3.85726319939624e-10
"Zfp85os",24.625176726499,-8.07383309167349,1.12334385381763,-7.18732119665314,6.60748462033037e-13,4.41059609747386e-10
"Gm5464",24.373893476153,-8.05903576410171,1.12453263589954,-7.16656458587802,7.6903127465349e-13,4.98241791707855e-10
"Cntnap5a",24.2482463622308,-8.05157948174995,1.12577714983008,-7.15201892573966,8.5510775518881e-13,5.38180389465689e-10
"Il1rapl1",24.2482134297357,-8.05157768343091,1.1264407237725,-7.14780415294811,8.81769907323811e-13,5.39545208848025e-10
"ENSMUSG00000132294",58.9137712513517,1.6384536168861,0.230188041219469,7.11789199910671,1.09590187589003e-12,6.52446662759613e-10
"Tmem181c-ps",21.9867959066016,-7.91033663438776,1.11309447437967,-7.10661746730543,1.18921446521409e-12,6.89368848414105e-10
"Plppr1",24.3739483636447,-8.05903850623145,1.13469489751266,-7.102383666215,1.22623240872756e-12,6.92601217934633e-10
"D130043K22Rik",22.9919179304874,-7.974825635812,1.12666298703329,-7.07827072300581,1.4596436871603e-12,8.03825778519179e-10
"2310069G16Rik",23.368859272254,-7.99828585350541,1.13211786955285,-7.0648879137156,1.60745690210259e-12,8.63635625354047e-10
"ENSMUSG00000122529",21.2329900655569,-7.86000660307782,1.11578971357742,-7.04434402596992,1.86337243022364e-12,9.77294473642055e-10
"Adra2b",23.6201205676033,-8.0137147146762,1.14341541945015,-7.00857674153973,2.40754559841425e-12,1.23333521957835e-09
"C130073E24Rik",22.4893514297953,-7.94294080630822,1.13504449203495,-6.99791141408726,2.59806265254087e-12,1.3006846388675e-09
"A830082K12Rik",23.117576021908,-7.98268846760525,1.14519408519883,-6.9705987576938,3.15594887078395e-12,1.49787822160112e-09
"Gm48633",19.97655185883,-7.77200716719,1.11539116129081,-6.96796553255426,3.21556976469152e-12,1.49787822160112e-09
"Nr6a1os",20.4791403145188,-7.80785429867046,1.12087378104349,-6.96586398104666,3.26394382771263e-12,1.49787822160112e-09
"Ralyl",19.8509266999045,-7.76290585898729,1.11436637746195,-6.96620610240225,3.25602044575266e-12,1.49787822160112e-09
"Prox1os",22.7405358826562,-7.95896530162288,1.14319093619938,-6.96206123544245,3.35329676458596e-12,1.50747798225101e-09
"Gm16001",31.1540603170757,-6.36816822092596,0.915124862479344,-6.95879708007573,3.43190408525116e-12,1.51195966379825e-09
"Gm15337",21.7354138587704,-7.8937469781425,1.13683527580013,-6.94361544383524,3.82190007281366e-12,1.65076107458705e-09
"EU599041",58.9116049952081,1.67201845827024,0.240918964084253,6.94016954881773,3.91629629640905e-12,1.65900336187113e-09
"ENSMUSG00000138531",18.8458595635105,-7.68794686088289,1.10924375702796,-6.93080020705417,4.18466710427971e-12,1.73924239571837e-09
"Epha6",18.7202014720899,-7.67829540368163,1.11094749258545,-6.91148362539828,4.79610904460133e-12,1.9564572228607e-09
"ENSMUSG00000132846",19.9765628363284,-7.77200761938291,1.12667115434354,-6.89820413828853,5.26640336391779e-12,2.05840161662042e-09
"Gm19026",20.1021440852604,-7.78104901991839,1.12836327576134,-6.89587226655198,5.35352834021234e-12,2.05840161662042e-09
"Gm41555",63.4125133564195,1.51238437721634,0.219372978275295,6.89412337429464,5.41979724732089e-12,2.05840161662042e-09
"Hnf4aos",18.2176239938995,-7.6390346220522,1.10693703681517,-6.90105612874867,5.16173313551282e-12,2.05840161662042e-09
"ENSMUSG00000142047",19.9766726113119,-7.77201465518711,1.12912990671349,-6.8831890900922,5.85272549940241e-12,2.1487306216806e-09
"Lyzl4",22.1123991105304,-7.91855422426995,1.15024016619908,-6.88426161506471,5.80880372146696e-12,2.1487306216806e-09
"ENSMUSG00000135388",53.9273531247944,1.7003433307572,0.247408327882636,6.87261962969898,6.30334794908086e-12,2.27623194462874e-09
"Gm38353",17.7151123806992,-7.59867992304584,1.10922206164929,-6.85045870053055,7.36135622610052e-12,2.61541862820229e-09
"Gm44210",19.5995885620667,-7.74452295907543,1.13308929039344,-6.83487437815808,8.20769199057417e-12,2.86559302417736e-09
"Rit2",18.9715176549311,-7.69753388268722,1.12655167843734,-6.83282802735214,8.32567430303936e-12,2.86559302417736e-09
