"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000125757",37,-8.65308814462234,1.10482623091297,-7.83208064988817,4.79861536423568e-15,5.53689524282109e-11
"ENSMUSG00000131541",50.8460447718565,2.55934117184569,0.327019249227502,7.82627071003151,5.02554594310968e-15,5.53689524282109e-11
"Platr4",34,-8.53109764386136,1.11008445800349,-7.68508880775136,1.52890898632625e-14,1.12298365045663e-10
"Platr22",33.375,-8.50433063118547,1.11547298312399,-7.623968271619,2.45993855630743e-14,1.35511865220585e-10
"Acsm5",32.625,-8.47154062362287,1.11999755715511,-7.56389205449814,3.91184401832434e-14,1.43662471572961e-10
"Ms4a4c",35.125,-8.57806052781032,1.13062355979177,-7.58701731758549,3.27353350729103e-14,1.43662471572961e-10
"Inhca",31.75,-8.43231921052956,1.12608365481754,-7.48818187215039,6.9834214270177e-14,2.19828130206193e-10
"Gm57257",30.75,-8.38614914991471,1.12382786559239,-7.46212957221362,8.51350997433723e-14,2.34493990355651e-10
"Havcr2",31,-8.39783078283491,1.12992354944031,-7.43221148633873,1.06796864271063e-13,2.35326890421287e-10
"Il17rb",30.25,-8.36249791280239,1.12387638074873,-7.44076310886723,1.00105320609696e-13,2.35326890421287e-10
"Tinag",31.375,-8.41517773837378,1.14018381153995,-7.38054483251093,1.57643080814724e-13,3.15787753250223e-10
"Adrb3",28.75,-8.28912465787145,1.13054037915806,-7.332002297914,2.26739208088288e-13,4.16349870852119e-10
"ENSMUSG00000130969",42.2234210215622,2.59390538357185,0.354759550408131,7.31172812849634,2.63728303428528e-13,4.47019474311356e-10
"Gm5468",27.25,-8.2118189197436,1.13526797538138,-7.2333749368601,4.71136318310759e-13,7.4153491242697e-10
"Gm36723",29.375,-8.32015096206743,1.15206516008885,-7.22194477387525,5.12492872755713e-13,7.52852030078142e-10
"Cacng3",26.125,-8.15099370760003,1.1394429899226,-7.15348971356055,8.45991261230769e-13,1.16508859007625e-09
"1700120B22Rik",25.875,-8.13712142093505,1.14469540781376,-7.10854727413995,1.17270731256351e-12,1.5019495632266e-09
"Gm57255",54.4712654997746,2.70337664928961,0.3810345719436,7.09483298457695,1.29507790793308e-12,1.5019495632266e-09
"Mybphl",24.25,-8.04354771761222,1.1334302340034,-7.09664121910839,1.27825326000835e-12,1.5019495632266e-09
"Zmynd12",23.875,-8.02106359105437,1.13927876197828,-7.0404749555116,1.91585644500352e-12,2.11079483828263e-09
"1700026N04Rik",25.25,-8.1018457712154,1.15371234451868,-7.02241404428711,2.18067163330825e-12,2.21767086119495e-09
"Gm29155",23.5,-7.99822364635768,1.1393017112765,-7.02028581822836,2.21414835245241e-12,2.21767086119495e-09
"Car5a",23.125,-7.97501621537678,1.14226291837634,-6.98176933443029,2.91485438724921e-12,2.79255723578419e-09
"9030622O22Rik",22.25,-7.91936831767058,1.14009252306634,-6.9462505519912,3.75122305293699e-12,3.3253610437837e-09
"Cckbr",25.5,-8.11605924118925,1.1687586666673,-6.94417031732657,3.80690995658623e-12,3.3253610437837e-09
"Cfap141",23,-7.96719655882772,1.14891028682166,-6.93456804261729,4.0746425315253e-12,3.3253610437837e-09
"D130043K22Rik",22.875,-7.95933450066719,1.14694420327103,-6.93960044260875,3.93210467862904e-12,3.3253610437837e-09
"1700063H04Rik",22,-7.90306644292032,1.14361245274228,-6.91061593809117,4.82553869881906e-12,3.79752661530278e-09
"Gm17029",22.125,-7.91124007873664,1.15526959136019,-6.84796011069774,7.49104447315205e-12,5.69190224020363e-09
"Gm47889",19.75,-7.74741603009968,1.13364931956531,-6.83404990978197,8.25502832481084e-12,6.06331830457357e-09
"Dcst2",22.125,-7.91123995742387,1.16028092872204,-6.81838317047705,9.20708051758019e-12,6.11341542104453e-09
"Gm34719",19.875,-7.75651816011876,1.13637536031273,-6.82566555999963,8.7518603389239e-12,6.11341542104453e-09
"Msantd5l",21.125,-7.84451414828988,1.15172225244168,-6.81111624930343,9.68443322509975e-12,6.11341542104453e-09
"Rbm3os",20.375,-7.792363123902,1.14412820073619,-6.81074299094108,9.70959596796981e-12,6.11341542104453e-09
"Sez6",18.875,-7.68204024529067,1.12793190913036,-6.81073049100417,9.71043974297974e-12,6.11341542104453e-09
"ENSMUSG00000124566",20.125,-7.77455184536314,1.14529435766319,-6.78825648039164,1.1349675183818e-11,6.9469470187619e-09
"Gm36283",21.5,-7.86989921465566,1.16065533952174,-6.7805652088746,1.19706630913745e-11,7.1290151680659e-09
"Epha6",18.625,-7.66280396237236,1.13182638186429,-6.77029983145519,1.28515778159062e-11,7.45222413614457e-09
"Gm57021",23.25,-7.98279258715517,1.18100313618863,-6.75933225115511,1.38629160748766e-11,7.83254758230528e-09
"Gm30262",19.5,-7.72903726519711,1.144705816489,-6.75198566641632,1.45835286918986e-11,8.02234601313039e-09
"Hs3st2",20.375,-7.79236287204633,1.15466218169534,-6.7486083770451,1.49269882704037e-11,8.02234601313039e-09
"ENSMUSG00000128947",22.25,-7.91936747260504,1.17435335200673,-6.74359847406441,1.54511169085095e-11,8.10631812092872e-09
"ENSMUSG00000126843",54.3472890549545,1.95796536391155,0.290916801440134,6.73032755144762,1.69281571289559e-11,8.67469633340796e-09
"Kel",18.5,-7.65308867879849,1.13793321923848,-6.72542865381859,1.75076262349635e-11,8.76773963835046e-09
"Fbxl22",55.221730153405,1.64558207138232,0.244831669514156,6.72127945967045,1.80135726271547e-11,8.82064606309675e-09
"Htr1f",57.3460086347139,1.7170136151496,0.256050350189834,6.70576554133441,2.00353192472885e-11,9.59735346986962e-09
"Ugt1a10",20.5,-7.80118643606066,1.16633729458318,-6.68861955481634,2.2528555817074e-11,1.05620580304091e-08
"Gm14168",16.875,-7.52045135103234,1.12675180233072,-6.67445247078909,2.4815688505011e-11,1.13919520043316e-08
"ENSMUSG00000129227",16.375,-7.47705881929475,1.12654884841634,-6.6371368004199,3.19834793194558e-11,1.43827748327389e-08
"Gm16685",15.625,-7.40942033991351,1.12001151923337,-6.61548583445387,3.70333449219194e-11,1.60005834383234e-08
"Krbox5",19.25,-7.71042113533095,1.16535873918164,-6.61634986385866,3.68176428577712e-11,1.60005834383234e-08
"1700095J03Rik",15.25,-7.37437348638458,1.11789629011607,-6.59665261579758,4.20544574022824e-11,1.78205763242172e-08
