"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Apba2",39.5376291450452,-8.75997711554016,1.21385849944297,-7.2166377873204,5.328866664356e-13,1.8119838114348e-09
"Btn1a1",38.4035276413026,-8.71799055901626,1.21666045110149,-7.16550829865764,7.74984618754524e-13,1.8119838114348e-09
"Cacna2d3",37.9009260219397,-8.69898349810184,1.22146259411342,-7.12177641789827,1.06544795363933e-12,1.8119838114348e-09
"Erbb4",38.4043627257263,-8.71802096871196,1.21676275247484,-7.16493083880147,7.78258343414797e-13,1.8119838114348e-09
"Fgf13",37.7744845184604,-8.69416309231573,1.22105933988004,-7.12018065655179,1.07785690789253e-12,1.8119838114348e-09
"Gm56626",37.3971725828408,-8.67967972529331,1.22145414047821,-7.10602177982315,1.19435574529273e-12,1.8119838114348e-09
"Gsg1l",38.7806468464538,-8.73208921896514,1.21773595494859,-7.17075748932269,7.45839223934565e-13,1.8119838114348e-09
"Lrrc9",37.9005115776138,-8.6989682915522,1.21807102189225,-7.14159366342899,9.22549781002815e-13,1.8119838114348e-09
"Mapk10",38.7833514221967,-8.73218672352733,1.22184662775074,-7.14671262759232,8.88806732702055e-13,1.8119838114348e-09
"Negr1",41.5508482698683,-8.83163018691673,1.20897804054437,-7.30503771841884,2.77188974844121e-13,1.8119838114348e-09
"Ntng2",37.019286622659,-8.6650277958948,1.22174916472044,-7.09231325554252,1.31888549644967e-12,1.8119838114348e-09
"Ppfia2",37.6489268535373,-8.68935939780052,1.21953776477984,-7.12512531284277,1.03986036752305e-12,1.8119838114348e-09
"Rgs7",39.1592506402429,-8.74610461711195,1.21447618437864,-7.20154477264342,5.95341710300422e-13,1.8119838114348e-09
"Slc24a2",38.654792613193,-8.72739959685692,1.21774378035471,-7.16686033437571,7.67372464868936e-13,1.8119838114348e-09
"Stat4",44.6993631145063,-8.93700594145662,1.19948795666373,-7.45068417886757,9.28574080692207e-14,1.8119838114348e-09
"Tmem163",37.5218166668143,-8.68448160366556,1.22402872715419,-7.09499818999887,1.29353178474947e-12,1.8119838114348e-09
"Ncam2",36.3900246690007,-8.64029330555352,1.2244321829056,-7.0565715489852,1.70660786849892e-12,2.14662428613008e-09
"Pou2f2",36.2631946877108,-8.63525735950262,1.22698357466919,-7.03779377146982,1.95307459387688e-12,2.14662428613008e-09
"Tnfsf13",36.6405945279845,-8.65019461491278,1.22723738515114,-7.04850970119973,1.80844144677989e-12,2.14662428613008e-09
"Vwa3a",36.0116689518155,-8.6252154967659,1.22498213491461,-7.04109492777796,1.90735000341584e-12,2.14662428613008e-09
"Has3",35.7605280182271,-8.61511814853255,1.22793157964516,-7.01595943238308,2.28376316162131e-12,2.39055627708379e-09
"Syn1",35.508202639468,-8.60490306098997,1.22849572296677,-7.00442248200054,2.48006688611341e-12,2.47803774047932e-09
"Cdh8",35.6351859383058,-8.61005176056371,1.2321554789182,-6.98779651422166,2.79236981896558e-12,2.6687771026305e-09
"Amy1",34.8782588854756,-8.57907921640892,1.23012691497545,-6.97414153935502,3.07744137417583e-12,2.81867984529721e-09
"Nlgn1",34.8792083042163,-8.57911723401279,1.23119913658136,-6.96809880636713,3.21252585090403e-12,2.8247097301829e-09
"A630052C17Rik",34.6275650551061,-8.56867051458792,1.23705009569686,-6.92669645667098,4.30781515651418e-12,3.50919479593872e-09
"Bmerb1",33.9967142452511,-8.54214668176843,1.23323520740252,-6.92661596951986,4.3102656487283e-12,3.50919479593872e-09
"Slc16a14",33.9960487743636,-8.54211924967442,1.23564852174948,-6.91306556785268,4.74290586907078e-12,3.72351988621121e-09
"Lrrc4c",33.745459044262,-8.53144393197156,1.23527835484005,-6.90649512196481,4.9677400902448e-12,3.76554698840556e-09
"Gm16001",31.840646288228,-4.95929347965493,0.723362341580846,-6.85589115520836,7.08693230202113e-12,5.19283152876762e-09
"Fxyd7",32.8646318414136,-8.49328540367541,1.24420472666846,-6.82627643315376,8.71469321875244e-12,6.17956084950374e-09
"Adgrb3",32.4853365098473,-8.47654036749423,1.24478405567612,-6.80964728688632,9.78383204514329e-12,6.5172180611012e-09
