"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm29266",55.3256850338759,2.61796911338026,0.24242397471186,10.7991345183244,3.4746324813653e-27,7.67476822483968e-23
"Oprm1",56.3276760414872,2.3013616334739,0.216879896037849,10.611226192548,2.64258025041967e-26,2.91846562856348e-22
"Cdh12",54.8291798726294,2.30084608858278,0.222611087990569,10.3357209622921,4.85745565814607e-25,3.57638268590435e-21
"ENSMUSG00000134835",56.832177772975,2.01850034064916,0.209489953878769,9.63530853521147,5.6721344433671e-22,3.13215263962731e-18
"Cntn6",59.9521758490996,1.88835746520299,0.197069547162599,9.58218807721183,9.50103953485776e-22,4.19717922491876e-18
"Gm26618",48.5837304138115,2.34283236509427,0.24962038146546,9.3855812227354,6.25703782527066e-21,2.30342419140964e-17
"Iqschfp",55.0787154740177,1.98220577713587,0.211836728205321,9.35723372395856,8.18515768562997e-21,2.5827680422885e-17
"Gm13322",51.7057260055067,2.17483210044966,0.237804665231539,9.14545599150519,5.93788223648593e-20,1.63944928549377e-16
"ENSMUSG00000141017",50.3282478214263,2.24852831410393,0.246865779032233,9.10830299330529,8.36805826907419e-20,2.05370745608123e-16
"Gm27243",56.8286829342215,1.84489410602943,0.203668997104258,9.05829621719514,1.32504001106281e-19,2.92674837643555e-16
"St6gal2",55.8296930809354,1.84981956296324,0.206419312612626,8.9614655700103,3.20391244131348e-19,6.43345618215747e-16
"ENSMUSG00000143335",57.4541961425275,1.79180882910603,0.200204859178024,8.94987682348276,3.55879247164938e-19,6.55055067614929e-16
"ENSMUSG00000140523",52.5847080207293,2.09030309329345,0.235195365875318,8.8875181937112,6.24889909010006e-19,1.06173602386254e-15
"ENSMUSG00000143590",61.7011722103449,1.73549229238552,0.198983267165307,8.72180016495428,2.73813259158277e-18,4.31999090592002e-15
"Gm2164",57.702198626957,1.8361419963356,0.210974384679449,8.70315132865731,3.22793029710235e-18,4.75323496015978e-15
"Car10",61.4521758490996,1.67891578113955,0.194093664863433,8.6500287493714,5.14864585201136e-18,7.10770559870168e-15
"Gm31182",57.9536926961603,1.71936342130423,0.199277250216908,8.62799651958639,6.24359789025409e-18,7.86459884413548e-15
"Mgam",45.375,-8.94796410275246,1.0374446197675,-8.62500410360006,6.40903563900935e-18,7.86459884413548e-15
"Gm30439",55.2056967196901,1.90646130287604,0.222067557448485,8.58505098529891,9.07961517353337e-18,1.05552915764739e-14
"Cntnap5c",59.95217259512,1.83503349611904,0.215661313985622,8.50886727065654,1.75640757746127e-17,1.93977652854822e-14
"Cntn5",60.0791863805886,1.5875026387501,0.187398532534296,8.4712650482445,2.42742194005207e-17,2.55318551485095e-14
"Silc1",67.2001588096514,1.45066752788251,0.172182953330116,8.42515185055066,3.60282694881238e-17,3.61723825660762e-14
"ENSMUSG00000128764",56.4566873425263,1.7230978510915,0.204713730877182,8.41710931508191,3.85887570838893e-17,3.70586289769108e-14
"Gm826",40.125,-8.77056791971369,1.04340867594332,-8.40568812769781,4.2536010775607e-17,3.75814162404643e-14
"Prr18",63.4511722103449,1.55335297156485,0.184713036800686,8.40954703831217,4.11597138718814e-17,3.75814162404643e-14
"Myo1g",39.125,-8.7341573112244,1.04380050639174,-8.36765000375124,5.87786731866623e-17,4.80853086424814e-14
"Trim6",39,-8.7295407046633,1.04300823280706,-8.36957986531838,5.78240264658226e-17,4.80853086424814e-14
"Dnase1l3",38.25,-8.70152634964392,1.04346635367237,-8.3390579092654,7.4884735492082e-17,5.51351345849702e-14
"Gm2824",58.7041928885479,1.60814727178826,0.192796859551734,8.34114868638062,7.35723166980125e-17,5.51351345849702e-14
"Plpp4",61.2016756567121,1.57563023976348,0.188861645741264,8.34277512291752,7.25670832101408e-17,5.51351345849702e-14
"Bcl2a1a",38.375,-8.7062333012655,1.04567946553975,-8.32591017436842,8.36832438819634e-17,5.96256609956389e-14
"Gm28756",60.5786894421807,1.58746735926511,0.190875442426126,8.31677107902189,9.03921037466945e-17,6.23931496111559e-14
"Igfals",37.625,-8.6777581770815,1.04504532900854,-8.30371462002923,1.00905846807541e-16,6.55531865966168e-14
"Pou2af1",37.375,-8.66814021198349,1.0437430647528,-8.30486017556096,9.99370652607107e-17,6.55531865966168e-14
"Tmem63c",61.452685803426,1.55237772795608,0.187161147318558,8.29433752783027,1.09192005771544e-16,6.89095149566249e-14
"Klhl1",63.7011689563653,1.5460154174783,0.187462117454296,8.24708180230188,1.62309315671093e-16,9.6894274717381e-14
"Sez6",67.8256622560185,1.37484925087802,0.166642759247257,8.25027896254451,1.5802520681863e-16,9.6894274717381e-14
"ENSMUSG00000128062",37.375,-8.6681400334724,1.05235649235772,-8.23688559572821,1.76751350651515e-16,1.0273904824186e-13
"Gm15494",58.0802030352618,1.62097042457153,0.19751012489161,8.20702445234688,2.26737404129713e-16,1.25204394560428e-13
"Gm28175",56.4606823736674,1.68761023778135,0.205573314519188,8.20928651040371,2.22506710180826e-16,1.25204394560428e-13
"Gm53013",60.4531827418339,1.61546345139362,0.197140016958712,8.19449788183774,2.51641401747239e-16,1.35567201994951e-13
"2610316D01Rik",54.5826974892402,1.67747547882239,0.207726768512574,8.07539389763747,6.72591699218806e-16,3.53719177436785e-13
"Epha6",66.8261657023857,1.37182920047716,0.170105853814964,8.06456197544737,7.34989129661774e-16,3.7754511385975e-13
"Gm35330",32.625,-8.47204457612365,1.05226210018752,-8.05126838134134,8.19403655394502e-16,4.1134063500804e-13
"Htr1f",56.079696334915,1.67488478990439,0.208385412391785,8.03743779701548,9.17364403072495e-16,4.50283220779228e-13
"Clec9a",32.5,-8.46650636664,1.0538360598495,-8.03398810233268,9.43543492774951e-16,4.53064971052459e-13
"Fam3d",31.375,-8.41568221305882,1.05143549544231,-8.00399287406461,1.20448363699471e-15,5.66056054764665e-13
"Nmbr",65.5761689563653,1.42998795566693,0.179504263962834,7.96631747958371,1.63472640444548e-15,7.52246600445664e-13
"Gm43713",55.708701127995,1.69796106401473,0.21343699041416,7.95532705329076,1.78658927159504e-15,8.05350690428394e-13
"Mfsd2b",29.875,-8.34500553608799,1.05191475385216,-7.93315761142067,2.13643012912434e-15,9.43789373841967e-13
"Ifi207",29.375,-8.32065563915519,1.05503034767172,-7.88665051912251,3.10405106386534e-15,1.34248356943882e-12
"Sh2d1b1",30.5,-8.37487582375969,1.06220837393422,-7.88440011326663,3.16050097839636e-15,1.34248356943882e-12
"Gm26510",29.5,-8.32678157186682,1.063109179743,-7.83248017280765,4.78338649257404e-15,1.99349888392406e-12
"Gpr149",62.8271791030792,1.40174243012695,0.180128149650998,7.78191766718779,7.14333539143224e-15,2.92188874307325e-12
"Kcnj6",67.2006622560185,1.36963075273847,0.176080732154377,7.7784249076024,7.34330688164162e-15,2.94907204366727e-12
"Cpne4",65.450162063631,1.55427538520845,0.200337932304477,7.75826807898886,8.60970118860546e-15,3.34555133784202e-12
"E130018N17Rik",26.375,-8.16523809856219,1.0528552700138,-7.7553281358939,8.81153368680345e-15,3.34555133784202e-12
"Gm16316",28.375,-8.27068700785764,1.06637296494571,-7.75590462224322,8.7715932392495e-15,3.34555133784202e-12
"Myocd",27.625,-8.23204121759413,1.0617136162704,-7.75354209594838,8.9364147470427e-15,3.34555133784202e-12
"Marchf11",57.7036894421807,1.5917936447305,0.205556427313008,7.74382813292733,9.64673860412169e-15,3.55128603813067e-12
"Rit2",67.3256655099982,1.36004466023016,0.177010136765178,7.68342810804332,1.54886901326029e-14,5.60842930572023e-12
"Gm42912",56.8337271598319,1.59625461128378,0.207915855287778,7.67740684843104,1.62341212981262e-14,5.78353663279051e-12
"Gm33680",54.457717013118,1.54839756969857,0.202138757402481,7.66007266293588,1.85827914627708e-14,6.51518567983622e-12
"Crp",26.5,-8.17205900341642,1.07060391084364,-7.6331301620006,2.29121342751544e-14,7.6752439138347e-12
"Gm20275",25.375,-8.10947468988153,1.06295785042512,-7.62915922455269,2.36289653269087e-14,7.6752439138347e-12
"Gm21984",62.8281794878543,1.43070697246956,0.187455074441729,7.63226590013868,2.3066306100956e-14,7.6752439138347e-12
"Gm49359",24.875,-8.08076350204632,1.05910139075528,-7.62982994128981,2.35063583490274e-14,7.6752439138347e-12
"Gm6871",26.5,-8.17205900323738,1.07061475999731,-7.63305281094563,2.29258911841863e-14,7.6752439138347e-12
"Tafa1",53.705209543221,1.64675110210001,0.216495135135336,7.60641157627207,2.81810878424148e-14,9.0212154820762e-12
"ENSMUSG00000130925",27.25,-8.21232263404623,1.08039495992276,-7.60122264420169,2.93345916406391e-14,9.25632085940625e-12
"Ttll10",25.125,-8.09519035704968,1.06916792817854,-7.57148633408861,3.68977892055505e-14,1.14788502531296e-11
"ENSMUSG00000133656",24,-8.02910139222177,1.06156937831857,-7.5634259580275,3.92589326853843e-14,1.20437681271496e-11
"1700124L16Rik",35.75,-6.56109169945557,0.869999419619523,-7.54148974297584,4.64632624884733e-14,1.39103368573828e-11
"Gm44210",68.9501588096514,1.34249898118838,0.178024327126604,7.54109847152323,4.66029032708407e-14,1.39103368573828e-11
"Gm38353",62.3296898269558,1.34280474404387,0.178258798840909,7.53289460478345,4.96276683985318e-14,1.46156791944903e-11
"Cdh9",57.3306934657105,1.52950173256871,0.203586665396096,7.5127795309822,5.78849671971378e-14,1.68231994138208e-11
"Prrt2",68.8266626407936,1.24973590492554,0.166397567499448,7.51054191299814,5.8883098769916e-14,1.68910374757131e-11
"Ralyl",67.2016724027325,1.26461192899408,0.168508759732591,7.50472516088131,6.15576168348396e-14,1.74318543672813e-11
"Gm50139",64.8261949882023,1.36550070249878,0.182359625477497,7.48795518154472,6.99549049451228e-14,1.9559037220606e-11
"ENSMUSG00000140094",23.25,-7.98329760867674,1.06901999292141,-7.4678655792583,8.15060395489628e-14,2.25038175194686e-11
"Tmem212",65.7016886726306,1.27089471232712,0.170404343355333,7.45811220126592,8.77709146296128e-14,2.39343699054184e-11
"ENSMUSG00000127917",53.0816971044652,2.04135160989874,0.273854037415608,7.45415926368373,9.04426929043926e-14,2.43621731813686e-11
"9030622O22Rik",22.25,-7.91987241526322,1.06318275725591,-7.44921074125065,9.39002757462051e-14,2.4988786634725e-11
"Gm15155",31.3453129342358,3.05094952630028,0.410954065699012,7.42406458763407,1.13579729174812e-13,2.98660602144435e-11
"Gm37695",21.625,-7.87876719031613,1.06671725156824,-7.3859939723794,1.51318648940737e-13,3.93214860917999e-11
"ENSMUSG00000125899",24.375,-8.05146860494772,1.09037689467013,-7.38411520301294,1.53470522694632e-13,3.94169407590585e-11
"Gm30340",52.4526988193445,1.79252766513581,0.242975476668677,7.3774015785968,1.61408606682248e-13,4.09792333838793e-11
"H2-T9",21.125,-7.84501847256383,1.06491318013137,-7.36681507838606,1.74752620646305e-13,4.38629077822225e-11
"Tas1r3",20.125,-7.77505609984032,1.05940076445899,-7.33910750367527,2.15022853229064e-13,5.33643233946469e-11
"Gm29478",45.4612118518715,2.22733260624373,0.303555391738274,7.33748326290362,2.1764760543996e-13,5.34155589884203e-11
"Cacng2",62.9516756567121,1.49327947791018,0.20417535549925,7.31371067903276,2.59864353400112e-13,6.30756465703482e-11
"Dscaml1",61.7021856110385,1.42426096400386,0.195273199536576,7.29368375887693,3.01592888334648e-13,7.24085186688663e-11
"Grik1",66.5766724027325,1.23253731245009,0.169507527973796,7.271283624882,3.56087398247965e-13,8.45726715322693e-11
"ENSMUSG00000124566",20.125,-7.77505587261444,1.07126030700456,-7.25785863788321,3.93266221870672e-13,9.24091947731851e-11
"Sox1ot",68.450162063631,1.31493808045519,0.181432166101765,7.24754661043756,4.24388429484071e-13,9.86725434783596e-11
"Gm48678",48.0802062892414,2.49360111718453,0.34422439987494,7.24411493807666,4.35272180460086e-13,9.91164115670348e-11
"H3c14",66.2006622560185,1.49062626474653,0.20574902057917,7.24487660038682,4.32833103802979e-13,9.91164115670348e-11
"Fcrla",19.875,-7.75702195858606,1.07189158438172,-7.23675982871012,4.59530852067862e-13,1.03572627147703e-10
"Bach2os",19.125,-7.7015270516484,1.06447231552161,-7.2350656182867,4.65304108186474e-13,1.03814516582049e-10
"ENSMUSG00000129902",60.2021563252219,1.80780981839902,0.249925146491041,7.23340505659691,4.71031791352955e-13,1.04041502074041e-10
"A330008L17Rik",67.45217259512,1.22093299790807,0.168941846927798,7.22694240716966,4.93989465322145e-13,1.08032072376589e-10
"Gm28609",18.5,-7.65359271921983,1.05971166358259,-7.22233507683136,5.11023632394071e-13,1.10661666591375e-10
"Gm21060",19.75,-7.74791971858744,1.07416068758812,-7.21299877021599,5.47329092855654e-13,1.17372864106754e-10
"Gm30262",19.5,-7.72954125533835,1.0718234999721,-7.21158031666553,5.53062104816395e-13,1.17461882415236e-10
"Gm56681",57.2082074435667,1.44405488897987,0.200951462954461,7.18608796248037,6.66740980345251e-13,1.40256902608247e-10
"ENSMUSG00000128939",24,-8.02910025200344,1.11811448703313,-7.18092855885299,6.9239528600555e-13,1.44279500729157e-10
"ENSMUSG00000141837",19,-7.69206653967504,1.07464289471453,-7.15778848723358,8.19889240332306e-13,1.67682532782037e-10
