"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ap1s3",44.375,-8.9148190147927,1.12815908966043,-7.90209385936522,2.74256768656452e-15,3.52370757192233e-11
"Il1r2",42.625,-8.85677163953966,1.1353506948254,-7.80091268707219,6.14610275777982e-15,3.52370757192233e-11
"Rasal1",43,-8.86940849366306,1.13339385558615,-7.82553077198051,5.05519518040217e-15,3.52370757192233e-11
"Tnnt3",42.75,-8.86099618908963,1.13669713377239,-7.79538887344811,6.4210424525941e-15,3.52370757192233e-11
"Oasl1",40.5,-8.78299363229812,1.14309778042776,-7.6835016064955,1.54798023462254e-14,6.79594282603989e-11
"Chst8",39.25,-8.73776431071744,1.14865923520386,-7.6069247022305,2.80694732670787e-14,8.17255344985454e-11
"Galnt12",38.75,-8.71926802069236,1.14738502606649,-7.59925205803331,2.97847148643963e-14,8.17255344985454e-11
"Hsd17b2",40.375,-8.77853382802575,1.15015938427579,-7.63244985698501,2.30334056077049e-14,8.17255344985454e-11
"Pik3c2g",38.625,-8.71460652899493,1.15265727759953,-7.56044897156554,4.01680446068163e-14,9.79698607960251e-11
"4933439K11Rik",37.75,-8.68154828782169,1.15251302470135,-7.53271164989335,4.9697278381025e-14,1.09090495774188e-10
"Ccdc106",37.75,-8.68154823620345,1.15477206342502,-7.51797563447648,5.56308665023493e-14,1.11013922781188e-10
"Zfp341",35.75,-8.60301493235644,1.15505830474541,-7.44812179351647,9.46783990511202e-14,1.73190461464262e-10
"Vps37d",35.625,-8.59796167216331,1.15678684569635,-7.43262399996224,1.06464217018982e-13,1.79768925214129e-10
"Gm45808",36.375,-8.6280186904141,1.16445206651435,-7.40950953545135,1.26767361634797e-13,1.85511357016361e-10
"Hgd",36.625,-8.63790016567002,1.16544740294982,-7.41166022920205,1.24727980349548e-13,1.85511357016361e-10
"ENSMUSG00000123649",34.5,-8.55166795928152,1.16220714709103,-7.35812714685682,1.86508359450145e-13,2.40826176370008e-10
"Gm20458",34.25,-8.54117563685544,1.16056883472079,-7.35947354549654,1.84636942513361e-13,2.40826176370008e-10
"Pbx4",34.375,-8.546431291162,1.16338954103845,-7.34614760549883,2.04001088099e-13,2.48779326936731e-10
"Atp13a5",32.875,-8.48206246353417,1.16763596097868,-7.26430389864384,3.74964158761992e-13,3.9194467852307e-10
"Dmc1",32.25,-8.45437086997778,1.1630966509004,-7.26884637096401,3.62570454367559e-13,3.9194467852307e-10
"Nphp4",32.625,-8.47104953467632,1.16547910167247,-7.26829809519564,3.6404475299087e-13,3.9194467852307e-10
