"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Galnt12",38.75,-8.72016571597593,1.08948996695291,-8.00389721840625,1.20542015782638e-15,2.65096001109178e-11
"Large2",35.125,-8.57846763057801,1.09739313561511,-7.81713257735078,5.40401797584104e-15,5.94225816623481e-11
"Stk31",34.375,-8.54732884480186,1.11183635914754,-7.68757809949226,1.49946315958916e-14,1.0401347223592e-10
"Tigd3",32.5,-8.46640908397218,1.10559670076473,-7.65777347030438,1.89184198319243e-14,1.0401347223592e-10
"ENSMUSG00000121307",31.25,-8.40982553141422,1.10998968107578,-7.57648983120601,3.55029517182646e-14,1.22350959502221e-10
"Gm49957",32.625,-8.47194695098158,1.11996525288568,-7.56447303088459,3.89440122096919e-14,1.22350959502221e-10
"Tox2",30.75,-8.38655583907733,1.10726022142709,-7.57415075226699,3.61484460127454e-14,1.22350959502221e-10
"Slc6a20a",31,-8.39823748607639,1.11398231967249,-7.53893247475014,4.73834229486329e-14,1.30257029685792e-10
"6820408C15Rik",29.625,-8.33278450682316,1.11395711298705,-7.48034588556015,7.41272512119762e-14,1.37237384476089e-10
"ENSMUSG00000131541",48.5836203908921,2.48224407362816,0.332385571526631,7.46796577910205,8.14440160009376e-14,1.37237384476089e-10
"Fsip1",30,-8.35093184269066,1.11340321586439,-7.5003661959135,6.3639790422719e-14,1.37237384476089e-10
"Gm36738",30.875,-8.39240820584485,1.12369655558863,-7.46857162114256,8.10699877973463e-14,1.37237384476089e-10
"Hnf1b",29.25,-8.31440606475547,1.11092643704659,-7.48420938370986,7.19791212279354e-14,1.37237384476089e-10
"Rnf182",28.75,-8.28953141726112,1.11138739625509,-7.45872361446005,8.73646499938727e-14,1.37237384476089e-10
"Sec1",30.25,-8.36290423493598,1.12434708999986,-7.43800940947606,1.02213781441565e-13,1.49859032097527e-10
"Sult6b1",28.75,-8.28953120340961,1.12145799649492,-7.39174470137828,1.44914569470805e-13,1.99185075737622e-10
"ENSMUSG00000121883",26.625,-8.17875107275921,1.11384927981821,-7.34278077020805,2.09201047848385e-13,2.55597191348982e-10
"Tm6sf2",26.75,-8.1855084203074,1.11433529582602,-7.3456422415838,2.04773426661685e-13,2.55597191348982e-10
"2410003L11Rik",26,-8.1444811375129,1.11748404106263,-7.28823038024617,3.14052623360981e-13,3.63507646997616e-10
"ENSMUSG00000123148",27.25,-8.21222535118932,1.13201668621961,-7.25450909969728,4.03121175367182e-13,4.2216385184167e-10
"Gm4316",26.75,-8.18550814045235,1.12761105710485,-7.25915916563351,3.89503931883347e-13,4.2216385184167e-10
"Gm57255",54.8284479397537,2.71425946382551,0.375376657858349,7.23076250748056,4.80289631730342e-13,4.80114980955167e-10
"ENSMUSG00000127852",24.875,-8.08066591214993,1.12744818060078,-7.16721712907817,7.6537592979787e-13,7.15930445930252e-10
"ENSMUSG00000133656",24,-8.02900398095269,1.12155697960905,-7.15880167207503,8.13853271564946e-13,7.15930445930252e-10
"Ttll10",25.125,-8.09509289509193,1.13074803823547,-7.15905986246441,8.12322109426508e-13,7.15930445930252e-10
"1700105P06Rik",23,-7.96760351197384,1.12166009932061,-7.10340281944575,1.217219500381e-12,9.6961586916142e-10
"Car5a",23.125,-7.97542296157886,1.12383650900318,-7.09660426377575,1.27859495296841e-12,9.6961586916142e-10
"ENSMUSG00000126872",22,-7.90347342521638,1.11335697709969,-7.0987774701022,1.25865280848768e-12,9.6961586916142e-10
"Slc25a18",22.75,-7.95183625129788,1.11994869414146,-7.10017904649966,1.24595365117134e-12,9.6961586916142e-10
"1700034H15Rik",23.125,-7.97542281729945,1.1308059457915,-7.05286600851492,1.7526961290415e-12,1.24339655709293e-09
"D130043K22Rik",22.875,-7.95974126346587,1.1284755886937,-7.05353429282412,1.74429494289097e-12,1.24339655709293e-09
"1700063H04Rik",22,-7.90347318501042,1.1251169649291,-7.0245791605395,2.14712417852024e-12,1.47561109168804e-09
"ENSMUSG00000134840",22.875,-7.95974112774275,1.13504013697362,-7.01273978642371,2.33695855297064e-12,1.55740583324031e-09
"Tnfrsf26",21.375,-7.86189410505926,1.12654887378592,-6.97874214603603,2.9783453230281e-12,1.92646383364806e-09
"Prrt2",20.375,-7.79276994000888,1.12125867066185,-6.95001978036791,3.65234998245424e-12,2.29492802326096e-09
"Gm34719",19.875,-7.75692483755063,1.11872138673168,-6.93374143870825,4.09853469392586e-12,2.50374930524493e-09
"Gnrh1",19.625,-7.7386626008878,1.12137835897039,-6.90102723936383,5.16278310441235e-12,3.0686466495199e-09
"ENSMUSG00000138531",18.75,-7.67286078076938,1.1135926516736,-6.89018625368799,5.57193866273638e-12,3.22468618607628e-09
"Hs6st3",20.875,-7.82774568683386,1.13833743881683,-6.87647214253965,6.1352925936922e-12,3.45967576206356e-09
"ENSMUSG00000141379",18.75,-7.67286071616404,1.11684903518999,-6.87009656131258,6.41584609691717e-12,3.52743218408506e-09
"Gm13067",18.875,-7.6824466582142,1.12160104469702,-6.84953593306383,7.40899379746376e-12,3.97411199009324e-09
"Ubap1l",58.7086203908922,1.59180372586393,0.232954405651394,6.83311277763941,8.30915804900299e-12,4.35083342413509e-09
"Gm2093",20,-7.76596955905652,1.13891237754871,-6.81875946925019,9.18300005650364e-12,4.58983039187791e-09
"Mss51",67.9539181625845,1.37862425585503,0.202149405833901,6.81982838469385,9.1149331167774e-12,4.58983039187791e-09
"Kcnj6",18.75,-7.67286050369187,1.1275033500972,-6.80517756601824,1.0092467707611e-11,4.9323011072396e-09
"Gm28539",18.5,-7.65349503191633,1.13616824838638,-6.7362338657026,1.62544593249227e-11,7.77104498855871e-09
"Gm32647",20.125,-7.77495793064651,1.15811485606601,-6.71346014596271,1.90062546783264e-11,8.89330963586711e-09
"ENSMUSG00000141588",17.375,-7.56298302793694,1.12746839706337,-6.70793349741393,1.97399849388861e-11,9.04420309949966e-09
"6530403H02Rik",19.5,-7.72944343016588,1.15341637319053,-6.70134706756851,2.06506908241906e-11,9.0930898736269e-09
"Aadacl4fm5",18.5,-7.65349490795909,1.14260412234173,-6.69829099887498,2.10871036538274e-11,9.0930898736269e-09
"Gm48893",17.5,-7.57332490008354,1.13046322887813,-6.69931113778845,2.09404310971076e-11,9.0930898736269e-09
"ENSMUSG00000122372",18.625,-7.66321000745741,1.14481467493877,-6.69384327019327,2.1738424204652e-11,9.19368125209051e-09
"Grm4",19.375,-7.72016553901008,1.15777187205153,-6.66812325067996,2.590951627801e-11,1.0750982678981e-08
"Dscaml1",16.75,-7.5101311644094,1.13001150578937,-6.64606610280766,3.01030106225482e-11,1.19814111285119e-08
"Gm49353",17.75,-7.59378873612092,1.14293855737594,-6.64409183425872,3.05092316840972e-11,1.19814111285119e-08
"Tmem63c",15.625,-7.4098266784962,1.11494551695116,-6.64590920887192,3.01350981876896e-11,1.19814111285119e-08
"Cntn5",15,-7.35093321715774,1.10687823603563,-6.6411398994398,3.1126641783405e-11,1.20094229140464e-08
"Gm16793",17.5,-7.57332468167989,1.14186180872111,-6.6324353996584,3.30192868096225e-11,1.25200026813313e-08
"1700040L08Rik",15.625,-7.40982660801229,1.11860547881674,-6.6241644157245,3.49217900335311e-11,1.28000001069569e-08
"ENSMUSG00000134455",17.625,-7.58359295037719,1.14474422197766,-6.62470515664694,3.47941968222633e-11,1.28000001069569e-08
"Spats1",16.875,-7.52085738678645,1.13895693186787,-6.60328514305836,4.02144974536696e-11,1.44983152131328e-08
"ENSMUSG00000130969",41.8340906137229,2.57833284591554,0.391277542910119,6.58952422042736,4.41238251213616e-11,1.4670903810142e-08
"ENSMUSG00000131089",58.8331501680614,1.69609051538014,0.257494879402009,6.58689026872705,4.49133962623413e-11,1.4670903810142e-08
"ENSMUSG00000132294",14.25,-7.27693277741582,1.10422171332008,-6.59010114511894,4.39527040686822e-11,1.4670903810142e-08
"ENSMUSG00000133051",16.375,-7.47746491515268,1.13545913815218,-6.58541083858054,4.53629255679181e-11,1.4670903810142e-08
"Gm2824",14.5,-7.30202365196924,1.10822142158803,-6.58895732362383,4.42926066855402e-11,1.4670903810142e-08
"Gm5089",15.625,-7.40982648415966,1.12504815466253,-6.58623051240175,4.51133241873118e-11,1.4670903810142e-08
"Slc22a13b",14.375,-7.28953276151807,1.10619467905331,-6.58973768320463,4.40604343051371e-11,1.4670903810142e-08
"ENSMUSG00000126789",18.125,-7.6239503311639,1.15887903827394,-6.57872830499998,4.74488883272357e-11,1.47270797794776e-08
"ENSMUSG00000130286",16.125,-7.45526923717349,1.13338494676541,-6.5778791737531,4.77205750029806e-11,1.47270797794776e-08
"Gm13601",15.375,-7.3865567719033,1.12310400321539,-6.57691251278239,4.80317190333625e-11,1.47270797794776e-08
"Gm44686",16.875,-7.52085730179213,1.14362264773345,-6.57634519279394,4.82152484595484e-11,1.47270797794776e-08
"ENSMUSG00000142054",17.25,-7.55256599238931,1.14911682704126,-6.57249621157811,4.94786468895491e-11,1.49059507177392e-08
"Gm56620",15.25,-7.37477960028113,1.12410298637235,-6.56059070181877,5.35950429440053e-11,1.59278673570887e-08
"H3c14",17.375,-7.56298248166784,1.15468918948604,-6.54979933174411,5.7614448497808e-11,1.68940926848506e-08
"Zfp936",13.875,-7.23845864949005,1.10569925491738,-6.54649862274794,5.89016922074411e-11,1.70442896713953e-08
"Cdh9",14.75,-7.32668545512715,1.11981811411217,-6.54274597168489,6.03993779277595e-11,1.72506898621726e-08
