"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Camk2b",44,-8.90211254957181,1.12647373648163,-7.90263657400147,2.73064877723204e-15,1.28711136191075e-11
"Cntnap2",46,-8.96624290124667,1.1222856516925,-7.98926983315237,1.35740298932439e-15,1.28711136191075e-11
"Dock3",42.875,-8.86474568668002,1.12902473509155,-7.85168421129514,4.10487016874357e-15,1.28711136191075e-11
"Greb1",42.875,-8.86474570996162,1.12800202038248,-7.85880304270713,3.87821481777564e-15,1.28711136191075e-11
"Lrrc4",43.5,-8.88562441920046,1.12772853354716,-7.87922284031568,3.29423537101269e-15,1.28711136191075e-11
"Pip5k1b",43.375,-8.88147279333731,1.12719711077053,-7.87925439878575,3.29340354237869e-15,1.28711136191075e-11
"Usp29",47,-8.99726981051134,1.11997820822365,-8.03343292257582,9.4782485068467e-16,1.28711136191075e-11
"Gria4",42.5,-8.85207181368744,1.13162340402417,-7.82245381476611,5.18034634005691e-15,1.42129277272386e-11
"Pak6",40.375,-8.77807128555712,1.13347079705613,-7.74441768447468,9.60208777111862e-15,2.10756224488283e-11
"Zmat4",41.25,-8.80900305409275,1.13571629714191,-7.75634115338584,8.74146783452635e-15,2.10756224488283e-11
"Lypd6b",40.25,-8.77359772705795,1.13733444322369,-7.71417570208273,1.21766630560718e-14,2.42968706743381e-11
"Lypd3",39.375,-8.74188893293644,1.13625666796859,-7.69358647510977,1.43066934187962e-14,2.61681344874299e-11
"Apba2",39.25,-8.73730163163823,1.1379235386006,-7.67828534629241,1.61232040121035e-14,2.72221696047431e-11
"Chst8",39.25,-8.73730157858628,1.14026188785699,-7.66253934436694,1.82292260449871e-14,2.75905313283411e-11
"Mab21l3",39.125,-8.73269968161696,1.14030680335348,-7.65820185930255,1.88554362351413e-14,2.75905313283411e-11
"Gata3",38.125,-8.69534633267074,1.1395658277946,-7.63040284342221,2.34021275805251e-14,3.2103331141559e-11
"Lrrc9",37.625,-8.67630058238876,1.14042706345045,-7.60793992045218,2.78499237307818e-14,3.39598875537183e-11
"Trpm3",37.75,-8.68108563929555,1.14040082066704,-7.61231093662124,2.69237874960193e-14,3.39598875537183e-11
"Cacna2d3",37.625,-8.67630047580955,1.14513841208848,-7.57663910687086,3.54621444611849e-14,3.53799367626613e-11
"Capsl",37.75,-8.68108554035499,1.14477313791091,-7.5832365844966,3.37039442559531e-14,3.53799367626613e-11
"Fgf13",37.5,-8.67149951507028,1.14429067847012,-7.5780565884394,3.50769411341983e-14,3.53799367626613e-11
"Trpc6",37.125,-8.65700000698149,1.14240766252992,-7.5778553408948,3.51313788529377e-14,3.53799367626613e-11
