"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cyp2b13",54.3599396317826,2.67148446009926,0.258622392993819,10.3296718786571,5.17372568256196e-25,1.14209994442555e-20
"ENSMUSG00000127291",49.7368419940837,2.73374494288587,0.297784330739152,9.18028472519103,4.29953070403394e-20,4.74560701457746e-16
"Dio3",65.3591469808238,1.70088386421045,0.192260605698553,8.84676222687701,9.0095071376738e-19,6.62949566880497e-15
"ENSMUSG00000123548",63.2354152223579,1.66940572516483,0.197240074675276,8.46382626813154,2.58745179084555e-17,1.42794995707289e-13
"Dcdc2b",50.6113664035085,2.0218918175274,0.243465409889051,8.30463686175704,1.00125196383094e-16,4.42052742031359e-13
"A930029G22Rik",37.5,-8.67195892654159,1.06652979564651,-8.13100483637669,4.25746357437803e-16,1.56639180673992e-12
"Cntn5",60.7352566921661,1.60834696915096,0.19896482766226,8.08357430832499,6.28956029354479e-16,1.98345776400002e-12
"Vsig2",53.1112078733167,2.13038752871733,0.269114485784422,7.91628708691626,2.44708223418286e-15,6.75241753994833e-12
"Gm10575",47.6105737525496,2.69339882748537,0.341542968361758,7.88597358746543,3.12092621763269e-15,7.65493847269351e-12
"Pde6c",32.375,-8.45994849685207,1.07949539698213,-7.83694726304805,4.6163181492822e-15,1.01905223145405e-11
"5430437J10Rik",41.8648540677272,2.37911171426391,0.304334883015948,7.81741379984772,5.3919627762421e-15,1.08206889350495e-11
"Ctcflos",65.4844640412073,1.44118535534619,0.184980530201793,7.7910110527525,6.6475098406945e-15,1.22286483111109e-11
"Gm56565",29.75,-8.33795789673063,1.0900471477806,-7.64917179381388,2.02277853920119e-14,3.43483355791278e-11
"B4galnt2",31.5,-8.42041970403684,1.10224498701798,-7.63933590373363,2.18344988608094e-14,3.44283258823119e-11
"ENSMUSG00000136079",26.25,-8.15738596252392,1.08536486238221,-7.51580067242983,5.6563678279353e-14,8.32428798677812e-11
"ENSMUSG00000141422",25.875,-8.13662734006353,1.08963539951868,-7.4672935035496,8.1861043793894e-14,1.12942658859388e-10
"Glra2",24.875,-8.07976511799675,1.08732007702392,-7.43089848953376,1.07862467500198e-13,1.34967725309639e-10
"Lrfn2",24.75,-8.07249713809406,1.08673093501757,-7.4282390221675,1.10052958349875e-13,1.34967725309639e-10
"Mtfr2",26.375,-8.16423928710958,1.10186915948736,-7.40944532008497,1.26828754549325e-13,1.47354987193493e-10
"ENSMUSG00000139155",24.125,-8.03559735524765,1.09879177769061,-7.31312111939578,2.61007546220364e-13,2.88087079140726e-10
"Lemd1",23.5,-7.99772927115089,1.09605002557041,-7.29686518367506,2.9454966358179e-13,3.09627801122287e-10
"Gm52687",22.625,-7.94298641226638,1.09408540242117,-7.2599327206897,3.87282906511633e-13,3.88603189147468e-10
"Gm10010",21.125,-7.84402020970173,1.08757448475746,-7.21239815721777,5.49749453327395e-13,4.8542876728809e-10
"Gm50114",56.2355737525497,1.99953798257521,0.276813150425507,7.22342121211218,5.0695676217673e-13,4.8542876728809e-10
"Plac1",22.875,-7.95884016537997,1.10296823927249,-7.21583802869026,5.36028294139984e-13,4.8542876728809e-10
"Il1rapl2",21.125,-7.84402014136468,1.09103447496244,-7.18952546539351,6.50168933683761e-13,5.52018431194963e-10
"ENSMUSG00000142959",23.375,-7.99003452850806,1.11389039543606,-7.17308862815016,7.33243493294412e-13,5.99494448684227e-10
"ENSMUSG00000136302",21.75,-7.88608387584837,1.10477988555151,-7.13814939879326,9.45957881780311e-13,7.45786437153585e-10
"Tmem212",65.9849396317826,1.27964612568762,0.179578211085583,7.12584292911666,1.03445631812099e-12,7.87435283535201e-10
"Gm14703",20.625,-7.80946271302608,1.10354768974231,-7.07668801775996,1.47640399281065e-12,1.08638727137651e-09
"Gm10421",19.125,-7.70052862798817,1.0957585027587,-7.02757825615881,2.10148951172275e-12,1.49646390229935e-09
"Gm14858",20,-7.76506860016802,1.10597813583339,-7.02099648137873,2.20291403702056e-12,1.5196664802259e-09
"1700003F12Rik",18.5,-7.65259428130707,1.0920361124268,-7.0076384784574,2.42374088897292e-12,1.52868800354506e-09
"Gm21060",19.75,-7.74692128912625,1.10530819059467,-7.00883369457191,2.40312889530923e-12,1.52868800354506e-09
"Lyzl4",22,-7.90257152429875,1.12706139617657,-7.01166019092423,2.35506637851794e-12,1.52868800354506e-09
"1700001O22Rik",21.25,-7.85253097971589,1.12402433990301,-6.98608624471017,2.82660355659347e-12,1.73325759755003e-09
"4930412M03Rik",21,-7.8354574967314,1.12358273311016,-6.97363644512611,3.08851599586536e-12,1.84267542185751e-09
"ENSMUSG00000129230",18,-7.61306595165735,1.09271376074536,-6.96711821993008,3.23498825518606e-12,1.87927278245348e-09
"Platr16",20.25,-7.78299020401883,1.12041500200855,-6.94652444858945,3.74395073092896e-12,2.11917211244248e-09
"Gm5105",19.125,-7.70052831844272,1.11156889266924,-6.92762128305987,4.27975593903749e-12,2.36189030885631e-09
"Gm46412",18.25,-7.63296526093141,1.10425763512303,-6.91230471780347,4.76842182463513e-12,2.56738809216635e-09
"Gm57014",50.3626346450426,1.69646889271231,0.245814051317058,6.90143172704213,5.14810125661946e-12,2.7058175057113e-09
"2900079G21Rik",22,-7.90257111220369,1.1469230567553,-6.89023650336269,5.56997075258648e-12,2.79651648230814e-09
"Nmbr",17.75,-7.59288791476731,1.10199441331341,-6.89013285642483,5.57403058761306e-12,2.79651648230814e-09
"5830418P13Rik",16.25,-7.46550907706587,1.08554077676518,-6.87722583698092,6.10293215652625e-12,2.9938272745626e-09
"BC006965",16.625,-7.49842352803478,1.09250536763209,-6.86351184185666,6.71879522621378e-12,3.22429140475368e-09
"Gm57413",17.25,-7.55166526009431,1.10420882451046,-6.83898289206504,7.97574085236204e-12,3.74605275140196e-09
"ENSMUSG00000130774",16.375,-7.47656397978835,1.09989470514897,-6.79752702216681,1.06430191281633e-11,4.89468015112927e-09
"Agrp",64.8594640412073,1.40820350379613,0.207463349385536,6.78772182155036,1.1391802885774e-11,5.12879810810791e-09
"ENSMUSG00000139292",64.361049343125,1.35102872567833,0.199122887480039,6.78489922869245,1.16167567567563e-11,5.12879810810791e-09
"Gm49353",17.75,-7.59288756549186,1.1203808284428,-6.77705952541611,1.2264636619951e-11,5.30866379187093e-09
"Gp5",15.875,-7.43182572018313,1.09987831603747,-6.75695266632565,1.40924203340418e-11,5.98250343988411e-09
"ENSMUSG00000142922",54.4892199469602,1.7668583383328,0.262343172572066,6.73491259944049,1.64028502491201e-11,6.83194187262881e-09
"Gm28756",15.125,-7.36200446331062,1.09417174341302,-6.72838108608667,1.71561118626322e-11,6.88583944304739e-09
"Gm48691",15.375,-7.3856556369972,1.09766441310823,-6.72851879754708,1.7139885847295e-11,6.88583944304739e-09
"ENSMUSG00000132294",14.25,-7.27603155500379,1.08278504002469,-6.71973779286595,1.82051861057857e-11,7.05051725061789e-09
"Gm56681",15.375,-7.38565561649432,1.09875363659632,-6.72184862056372,1.79433320148196e-11,7.05051725061789e-09
"Gm36500",20.125,-7.77405632053946,1.15760957003745,-6.71561165504873,1.87278956962932e-11,7.12790168095986e-09
"Gm13601",15.375,-7.38565557195983,1.1011241745468,-6.70737755348949,1.98153106225098e-11,7.4139488473204e-09
"ENSMUSG00000122849",14.625,-7.31350605532878,1.09143950711171,-6.70078919415574,2.0729691000499e-11,7.61234993824564e-09
"ENSMUSG00000142054",17.25,-7.55166480663108,1.12734116776983,-6.69865079226212,2.10352591725021e-11,7.61234993824564e-09
"Gm56620",15.25,-7.37387839957774,1.10215303718443,-6.6904305942985,2.22514875685065e-11,7.83184934542663e-09
"Riiad1",71.9844640412073,1.07918496711611,0.161318570163729,6.68977518224215,2.23513707253399e-11,7.83184934542663e-09
"Gm15494",14.25,-7.27603142781128,1.08967542086021,-6.67724653463091,2.43473188929367e-11,8.39792288377466e-09
"Cdh9",14.75,-7.32578424582472,1.09811458245051,-6.67123846901002,2.53653661386958e-11,8.48394632593499e-09
"Zfp936",13.875,-7.23755742095403,1.0845274921588,-6.67346607004617,2.49831364928949e-11,8.48394632593499e-09
"Cpne4",16.625,-7.49842290679278,1.12463811961776,-6.66740952133235,2.60357865901005e-11,8.57820879069355e-09
"ENSMUSG00000140605",15.75,-7.42042069943957,1.11456386656259,-6.65768999162403,2.78164711473802e-11,8.91511647901433e-09
"Gm33680",13.875,-7.23755737295953,1.08714013520952,-6.65742818110993,2.78660492435782e-11,8.91511647901433e-09
"A930041C12Rik",15.875,-7.4318253668973,1.11826490573021,-6.64585406267795,3.0146384501929e-11,9.50687768400117e-09
"Fcrla",66.3600981619744,1.22581518231301,0.185239847263592,6.61744867759853,3.65451029331537e-11,1.12517407811305e-08
"Prr29",68.6096225713991,1.18086723758731,0.178464244624392,6.61682814993359,3.66987694786591e-11,1.12517407811305e-08
"Gm15816",14.5,-7.3011220991208,1.10480120702125,-6.60853921295575,3.88130737236051e-11,1.17369671568299e-08
"Cort",14,-7.25049613561913,1.10224568667157,-6.57793105774205,4.77039307185897e-11,1.42305982515253e-08
"Gm20521",13.5,-7.19802891444658,1.09488198746996,-6.57425092094146,4.88987105165183e-11,1.43925204620285e-08
"2610316D01Rik",13,-7.14358133162097,1.0874563991316,-6.56907379213137,5.06291910789383e-11,1.46477153627364e-08
"ENSMUSG00000138426",16.25,-7.46550808948673,1.13669774148527,-6.56771612806402,5.10928236888201e-11,1.46477153627364e-08
