"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"F930017D23Rik",59.7342915736146,1.83929352929307,0.214940619171937,8.55721704152048,1.15624728091708e-17,2.54871588132552e-13
"ENSMUSG00000125391",58.9932911192133,1.94269572859654,0.235570849299626,8.24675775620095,1.62749867547368e-16,1.79374766517331e-12
"Mgat5b",33.922606025473,-8.52489452870728,1.07459711248521,-7.93310760810796,2.13729085648863e-15,1.5704100783193e-11
"Cnih2",32.1823494608765,-8.44892058379918,1.07907516202073,-7.82977950115847,4.88726339989476e-15,2.69324867809701e-11
"Radil",30.4441318561416,-8.36880712977977,1.07577670459084,-7.7793161852884,7.29176089883478e-15,3.2146457098603e-11
"Npy5r",31.9351992176499,-8.43779088407282,1.09019101512988,-7.73973621775592,9.96232852458088e-15,3.65999346112227e-11
"Ankfn1",31.808297612849,-8.43205743433865,1.10060677532962,-7.66128068929374,1.84088023197926e-14,5.79693185050268e-11
"Rspo2",28.8290956447396,-8.29016645086788,1.08685822055075,-7.62764295665623,2.39084621442979e-14,6.58767788808449e-11
"Stk33",26.9645711013196,-8.19370975524573,1.08503535149601,-7.55156018091805,4.30074732434817e-14,1.05334859189563e-10
"3300002A11Rik",27.8327933650311,-8.23943890310848,1.09880688303724,-7.49853229926411,6.45363513881003e-14,1.4225747936479e-10
"2410003L11Rik",25.8453990060023,-8.13255823818441,1.08749053410931,-7.478279564838,7.53018771114775e-14,1.50898116106209e-10
"Gm56599",57.1252853920616,2.14032992821378,0.287410188652192,7.4469521705227,9.55212297169416e-14,1.75464538887545e-10
"Ptchd4",25.7215090573147,-8.12562280952178,1.09710854661198,-7.40639824073451,1.29775736549148e-13,2.20049735442529e-10
"ENSMUSG00000129181",25.2242074079951,-8.09745790083444,1.10346328651604,-7.33822139783237,2.1645091005634e-13,3.40801957883707e-10
"2610027K06Rik",25.7214694053104,-8.12562007948843,1.11232862283162,-7.30505348212952,2.77156479570275e-13,3.81835017447974e-10
"ENSMUSG00000131779",22.7397612416586,-7.94786144875493,1.08783755154438,-7.30611058376454,2.74985890399028e-13,3.81835017447974e-10
"Ndst4",23.3612470907297,-7.98676010566034,1.09544837363216,-7.29085943062638,3.07983980350872e-13,3.99346522286722e-10
"Cfap74",26.3443161920318,-8.16013088334774,1.12109351441805,-7.27872454741973,3.36990953811048e-13,4.1268286638094e-10
"Has2os",24.1077702381078,-8.03213486105438,1.10698136949268,-7.25588983013821,3.99029776669884e-13,4.39790668356713e-10
"Trpc5",23.4844530469384,-7.99435670288309,1.10076517098243,-7.26254510373737,3.79873783713785e-13,4.39790668356713e-10
"Rgs20",21.6219732926554,-7.87513698094638,1.09050489349016,-7.22155125388022,5.13978421912218e-13,5.39506016867191e-10
"ENSMUSG00000134840",22.7405444370506,-7.94790523876115,1.10755306610357,-7.1760942947161,7.17310901559428e-13,6.58820175128103e-10
"Gm35588",21.000693513415,-7.83307525983908,1.09135966198479,-7.17735457217972,7.10731931449748e-13,6.58820175128103e-10
"Il1rapl2",20.9996998460311,-7.83301737188062,1.09068050875491,-7.18177074679972,6.88142442732118e-13,6.58820175128103e-10
"Adra2b",23.3625324369332,-7.98683152247318,1.11715275195928,-7.14927435703466,8.72378184403069e-13,7.69193292751874e-10
"ENSMUSG00000129742",24.4820638815141,-8.05435566359733,1.13058861316172,-7.12403748793573,1.04810516469711e-12,8.8859162097763e-10
"Gm15932",23.6120129160384,-8.00215113610393,1.12463463681261,-7.11533405976474,1.11642094763305e-12,9.11454331432422e-10
"Prrt2",20.2545439940116,-7.78088996590693,1.09493685161712,-7.10624540074187,1.19242315818211e-12,9.38735131278869e-10
"Gm47889",19.6324723560492,-7.73589550826679,1.09006974734871,-7.09669773616061,1.27773087058349e-12,9.71207640699032e-10
"Gm34719",19.758316675109,-7.74509506359793,1.09279856921989,-7.08739495250887,1.36659961636765e-12,1.0041318447864e-09
"ENSMUSG00000129556",69.3224597283186,1.2765366909591,0.180283247773897,7.08072828020089,1.4339883051659e-12,1.01965820034748e-09
"Gm15337",21.4954697578869,-7.86668982686262,1.11239559250948,-7.07184555551501,1.528865290891e-12,1.0531493002222e-09
"Htr4",20.7514509032321,-7.81585768164494,1.10602340962519,-7.06662952486112,1.58742004490402e-12,1.06034848635816e-09
"Gm14133",21.0016435294359,-7.83313364590825,1.10954566231443,-7.05976681443551,1.66782244088582e-12,1.08128853130724e-09
"Gm36283",21.3711141416249,-7.85831967011512,1.1158414303118,-7.04250573302274,1.88813063613726e-12,1.14416588273201e-09
"Gm57014",51.2342331027299,1.73985468606828,0.247264222013895,7.03641906579799,1.97243131805183e-12,1.14416588273201e-09
"Kcnmb2",19.384830455258,-7.71757121424212,1.09624292637739,-7.04001916778186,1.9221338881565e-12,1.14416588273201e-09
"Zfhx2os",19.8815507178473,-7.75407675934229,1.10147218978241,-7.03973902498077,1.92600222738227e-12,1.14416588273201e-09
"Gm14858",19.8830057187344,-7.75416806048559,1.10535555109262,-7.01508944594412,2.29801893609413e-12,1.29885208739289e-09
"Gm21060",19.6331363086315,-7.73593600302316,1.10455751899977,-7.00365157083756,2.49375847212463e-12,1.37424795002608e-09
"Kctd8",20.5025938413853,-7.79845455975264,1.11416250565267,-6.99938700161551,2.57084828686529e-12,1.38217582408223e-09
"Gm13710",49.0017825810671,2.16240964516401,0.309669639870929,6.98295656644064,2.89031790851811e-12,1.51693518232059e-09
"4833422C13Rik",17.5210256298649,-7.57172825264978,1.08782910829611,-6.96040232321922,3.39302345890724e-12,1.70405007291815e-09
"ENSMUSG00000129230",17.8933401990309,-7.6020706009896,1.09224323415951,-6.96005281904031,3.40145185357703e-12,1.70405007291815e-09
"Ctcflos",17.5213375423015,-7.57174938263195,1.09023104757594,-6.9450869148033,3.78227389594627e-12,1.7738864571988e-09
"Gm20387",18.6394658930735,-7.66100130527072,1.10237006573833,-6.94957305479776,3.66393351201546e-12,1.7738864571988e-09
"Gm38353",17.5213025542687,-7.57174698882847,1.08986393550067,-6.94742411615822,3.72016048729632e-12,1.7738864571988e-09
"Gm35993",49.2633111370291,2.43150381380755,0.350304914629048,6.94110676803485,3.89039833128649e-12,1.78658438367809e-09
"Dynlt1b",28.5837323372171,-5.48100527714273,0.790827234817664,-6.93072397589652,4.18692292346818e-12,1.88351718371447e-09
"Slco1c1",19.3844648739163,-7.71754749051995,1.11400404144626,-6.92775537914619,4.27570236764371e-12,1.88498614579941e-09
"Gpr149",17.148503636656,-7.54071957616324,1.08968062815762,-6.92011896083053,4.51264535112727e-12,1.95043610735095e-09
"ENSMUSG00000126652",58.4689226684512,1.59541649420512,0.231248003011527,6.89915793186586,5.23116894163337e-12,2.18033153092822e-09
"Gm14168",16.7752321499658,-7.50897729305395,1.08885759431399,-6.89619775098763,5.3412830680998e-12,2.18033153092822e-09
"Spag8",16.7748899863701,-7.50895355188491,1.08851647843742,-6.89833704921407,5.26147954172482e-12,2.18033153092822e-09
"Gm28539",18.3894345402076,-7.64153404296727,1.11159844932473,-6.87436551176312,6.22663692058581e-12,2.49552286619042e-09
"Lingo2",18.0184229105278,-7.61211064324514,1.10997108238781,-6.85793599853945,6.9862543270968e-12,2.74996435950348e-09
"BC006965",16.527483930864,-7.48749909395179,1.09228076586526,-6.85492167210369,7.13516035120749e-12,2.75930420388889e-09
"ENSMUSG00000143152",69.7017200629695,1.35059050438695,0.197142083971532,6.85084826729325,7.34133519145368e-12,2.79008709698644e-09
"Flacc1",60.8367939497444,1.4528481066117,0.212154236678769,6.8480749164181,7.48503676168786e-12,2.7964858531845e-09
"ENSMUSG00000130177",17.2707484141717,-7.5509948349769,1.10415010928497,-6.83873938106732,7.98930765574978e-12,2.93513847759487e-09
"Gm48893",17.3950456927449,-7.56133950783128,1.10622227397343,-6.83528047276773,8.18447418993124e-12,2.95754696014187e-09
"ENSMUSG00000122372",18.5167701343094,-7.65145885088177,1.12074520213877,-6.82711720405327,8.66379131577595e-12,3.03136431704205e-09
"Gm4316",26.7160957823304,-7.45224654438855,1.09133366354818,-6.82856837766695,8.57661891328238e-12,3.03136431704205e-09
"Nr1h5",19.6327588951926,-7.73591046903242,1.13473147424178,-6.81739305257355,9.27073700365603e-12,3.19304462143109e-09
"ENSMUSG00000142833",47.8670363062962,1.88672321446538,0.276926684187414,6.8130784146049,9.55320334093581e-12,3.23971171144997e-09
"C130040N14Rik",17.3976494022757,-7.56152367332248,1.11113304396194,-6.80523697356758,1.00883037215215e-11,3.36934058990148e-09
"Grm4",19.2615453839487,-7.70835895782467,1.13351432907018,-6.8004071586354,1.04323884362687e-11,3.43225579553241e-09
"ENSMUSG00000128528",17.2735940600734,-7.55119704091137,1.11184239147415,-6.79160742459145,1.10890964484588e-11,3.59466107372614e-09
"Prr18",16.0295509384711,-7.4433804570111,1.09658253586302,-6.78779773850134,1.13858117975324e-11,3.63735433989864e-09
"ENSMUSG00000123543",17.8950899266867,-7.60219289064777,1.12155808878488,-6.77824266675667,1.21646408136262e-11,3.8306453922109e-09
"Gm28778",18.0183800695822,-7.61210832459391,1.12386201029447,-6.77316988639863,1.25990857483598e-11,3.91157249508585e-09
"ENSMUSG00000121350",64.5864210963344,1.48240284658166,0.218978309591333,6.76963325430808,1.29109251796323e-11,3.95271560742547e-09
"ENSMUSG00000143419",14.7868389109747,-7.32696324118984,1.08292214337604,-6.76591875603156,1.32465866447017e-11,3.99992478642685e-09
"Plpp4",15.2843355355429,-7.37469389563597,1.0904001171634,-6.76329154734571,1.34891403505159e-11,4.01812325333003e-09
"Cntn5",14.9111072245108,-7.33903654763553,1.0856074916003,-6.76030388922338,1.37702604697461e-11,4.04717135379484e-09
"ENSMUSG00000142922",51.9814785324267,1.68947343480371,0.250076276051834,6.7558325062931,1.4201740761229e-11,4.11906541578647e-09
"ENSMUSG00000128247",18.5153713745717,-7.65136348086075,1.13340388842568,-6.75078280478517,1.47049590984534e-11,4.20962874554817e-09
"Gm15343",19.1364047423778,-7.69896215826709,1.14079140100157,-6.74879049009988,1.49082675641453e-11,4.21311463995454e-09
"Spats1",16.7766076329498,-7.50907883222677,1.11582171097763,-6.72964037027714,1.70082936159997e-11,4.74574450857571e-09
"Gm17023",16.4035301700987,-7.47663706928734,1.11525715274637,-6.70395796240872,2.02848640655092e-11,5.58924073245023e-09
"ENSMUSG00000122849",14.5378352621159,-7.30247156787434,1.09245612506305,-6.6844529499552,2.31788854590532e-11,6.30780459473963e-09
"4930598N05Rik",16.8978747836196,-7.51950355657654,1.12589575727167,-6.67868540050122,2.41095084245249e-11,6.48104749026589e-09
"Il4i1",64.9469799794103,1.23292060966275,0.184901567027944,6.66798356271593,2.59341820740696e-11,6.88755633082791e-09
"Gm16861",15.1602054123112,-7.36292792367285,1.10629626877733,-6.65547569080235,2.8238522817661e-11,7.4102590294012e-09
"Gm21972",17.3979664543885,-7.5615496190963,1.13725247946299,-6.64896296613649,2.95165247015516e-11,7.65450298819179e-09
"Gm33680",13.7926111958576,-7.22654881210341,1.08900436034197,-6.63592275225979,3.22478703101969e-11,8.26557913078687e-09
"1700018P22Rik",15.4084353395254,-7.38636379706195,1.11367180347233,-6.63244213782905,3.30177790257391e-11,8.36564256395825e-09
"Marchf11",14.2909731059652,-7.27772981489355,1.09892330932299,-6.6226002789741,3.52934470195614e-11,8.84060741650218e-09
"Top6bl",13.4206080634234,-7.18708353904295,1.08556478510934,-6.62059384905253,3.57758694276135e-11,8.8607583122796e-09
"Slc35f4",15.2848288820321,-7.37473424094204,1.11441918439828,-6.61755858494479,3.65179513581718e-11,8.94405779764647e-09
"ENSMUSG00000133603",16.4032246153705,-7.47661533255278,1.13243154582341,-6.60226691858572,4.0491760406536e-11,9.80835027078323e-09
"ENSMUSG00000128764",13.0469217967376,-7.14636756772072,1.08516876692818,-6.58548954366811,4.5338900322169e-11,1.08631019543649e-08
"A930012L18Rik",12.4263919866832,-7.07604258887344,1.0813988769269,-6.54341588460123,6.01293112242913e-11,1.3806566742886e-08
"ENSMUSG00000135388",12.5507242532893,-7.09040398775109,1.08334556262162,-6.54491441363624,5.9529467650453e-11,1.3806566742886e-08
"Htr1f",13.2968546842056,-7.17370793695546,1.09621391165653,-6.54407671775938,5.98640622745707e-11,1.3806566742886e-08
"Pou6f2",16.4017678526565,-7.47650216158454,1.14255821278097,-6.54365097370998,6.00348183582721e-11,1.3806566742886e-08
"ENSMUSG00000127022",12.9232720954961,-7.1326126127793,1.09055660739531,-6.54034147738087,6.13785254264141e-11,1.39481117110768e-08
