"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dok5",41.375,-8.81436053943829,1.08310457326645,-8.13805126208242,4.01690775425613e-16,6.03242509429459e-12
"Zmat4",41.25,-8.80999525390542,1.08761017486244,-8.10032441542733,5.48128217190913e-16,6.03242509429459e-12
"Ano3",38.875,-8.72444378879873,1.09326492045445,-7.98017353851632,1.46127695927887e-15,1.0721389050229e-11
"Syndig1",36.5,-8.63349761497016,1.09659232576029,-7.8730239234388,3.4617042567608e-15,1.90488930988905e-11
"Amph",35.75,-8.60354427352982,1.10378760863806,-7.79456501069582,6.46307325091806e-15,2.07066839635938e-11
"Ccdc30",35.375,-8.58833127358381,1.10030096508441,-7.80543828108423,5.92951167293346e-15,2.07066839635938e-11
"Grid1",35,-8.57295601710062,1.10258621153619,-7.77531582329174,7.52594028934397e-15,2.07066839635938e-11
"Pak5",34.5,-8.5521975765901,1.09820279573544,-7.78744837456262,6.83759637207697e-15,2.07066839635938e-11
"Gpr39",32.875,-8.48259211730301,1.10177215977982,-7.69904380139556,1.37088176848069e-14,3.01744786060284e-11
"Nek3",35.375,-8.58833096036827,1.11475278999,-7.70424710975185,1.31616944272067e-14,3.01744786060284e-11
"Bean1",33.5,-8.50976205422472,1.11250232736506,-7.64920831615691,2.02220417142573e-14,3.70922800143764e-11
"Pdzrn4",31.75,-8.43235789039953,1.10110001980098,-7.65812164086935,1.8867214577037e-14,3.70922800143764e-11
"Shisa6",31.125,-8.40367510262692,1.10430542819284,-7.60991921988399,2.74267288908519e-14,4.64376715089647e-11
"Csmd3",30.625,-8.38031111272153,1.10550712612203,-7.580512974275,3.44191342285118e-14,5.41142545359839e-11
"Gm30382",30,-8.35056349062896,1.12031607552267,-7.45375673265524,9.07192057826103e-14,1.33121362565402e-10
"9630014M24Rik",27.375,-8.21846020977085,1.11612043122765,-7.36341704696791,1.79261210081084e-13,1.83387858331692e-10
"Dlgap2",27.625,-8.23157572559644,1.1145800922432,-7.3853604446044,1.52040934510938e-13,1.83387858331692e-10
