"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Oprm1",56.9844823484153,2.32145632803416,0.229457562025738,10.1171489295863,4.63727009547878e-24,1.02214707444543e-19
"Cdh12",55.8596488806884,2.33310424619246,0.235165890771457,9.92109969068541,3.37022250080072e-23,3.71432221813247e-19
"Gm29266",53.7348186015336,2.56889036371125,0.260857174897455,9.84788079806932,7.00044186315583e-23,5.1434579849227e-19
"ENSMUSG00000134835",59.4841556610136,2.10013065816173,0.216467963135937,9.70180819248016,2.96202029771211e-22,1.63222128505426e-18
"Gm2999",63.7336656299109,1.86202475221158,0.198116053011323,9.39865661519697,5.52641313360556e-21,2.43626396581868e-17
"Gm26618",50.9862599976922,2.42580021950766,0.259774033540761,9.33811661790681,9.80628744710508e-21,3.60250313181817e-17
"Cntn6",59.7346425035441,1.88169171623321,0.211226981230006,8.90838710696822,5.17803248944473e-19,1.63048845903344e-15
"Iqschfp",54.4854847306258,1.96257935431738,0.224530516186225,8.74081344332555,2.31437920969178e-18,6.37669331750327e-15
"St6gal2",56.3606161886051,1.867222473481,0.219733769964196,8.49765820604297,1.93453741063359e-17,4.73789706724285e-14
"Gm27243",56.2353086326363,1.82549139669389,0.21790130578474,8.37760650455787,5.40148802342993e-17,1.13655182278553e-13
"Lockd",40.875,-8.7963011501098,1.05069946247256,-8.37185271743632,5.67193088224334e-17,1.13655182278553e-13
"Gm28175",58.6098090358171,1.75789902661498,0.21067746759376,8.34402960455485,7.18010038497911e-17,1.31886477238091e-13
"Dnase1l3",38.25,-8.70054217988974,1.05518205841076,-8.2455365029556,1.64420822926733e-16,2.7878182915008e-13
"Gm2824",60.7346456921162,1.67292401987931,0.204341934125407,8.18688551148104,2.68072963344623e-16,4.22061732717299e-13
"Gm48623",59.7354528449042,1.70788111524198,0.208832980334107,8.17821549311597,2.88078241616558e-16,4.23321373447478e-13
"ENSMUSG00000143590",61.9844823484153,1.74406875495466,0.215142877002762,8.10656052969056,5.20727830005289e-16,7.17367676811036e-13
"Ftcd",36.625,-8.63791091131731,1.07190816765047,-8.0584430383163,7.72723144597899e-16,1.00190373842511e-12
"Ddx43",33,-8.48754850886666,1.06422875460643,-7.97530462518416,1.52005434987313e-15,1.76342305157388e-12
"Gm17753",48.48585924661,2.25983997343117,0.283154277988791,7.98094942969795,1.4521195545185e-15,1.76342305157388e-12
"Car10",61.1096520692606,1.66831920998387,0.209923446200421,7.9472743048962,1.90659930654134e-15,2.10126309573921e-12
"Gm35330",32.625,-8.47106033589746,1.06756646626593,-7.93492546232466,2.10621779712974e-15,2.16353955327544e-12
"Gm57206",33.25,-8.49843666306037,1.07143468414444,-7.931828966174,2.15941702985481e-15,2.16353955327544e-12
"Cntnap5c",60.3596425035441,1.84752690973843,0.233867617856258,7.8998833899013,2.79164475288834e-15,2.6753666801376e-12
"Ttc36",32,-8.44315431940544,1.07007959710946,-7.89021147792408,3.01674888532067e-15,2.7706324554266e-12
"Inhca",31.75,-8.43183896317343,1.07278956144701,-7.85973248266913,3.84954716858421e-15,3.35291508574081e-12
"Tmem63c",62.2344855369875,1.57677041394997,0.200700200892502,7.85634696396996,3.95498558339811e-15,3.35291508574081e-12
"Gm12295",30.5,-8.37389180724046,1.06664214266186,-7.85070406682317,4.13708115128885e-15,3.37739047172996e-12
"Gm14387",31.75,-8.43183890571,1.07556364285474,-7.83946069739804,4.52485554267505e-15,3.56203092398726e-12
"Cntn5",59.7351421003632,1.57644885076335,0.201284533204547,7.8319423040883,4.80389989733351e-15,3.65129522541466e-12
"Gm42921",32,-8.44315413924991,1.07876933811891,-7.82665379975717,5.01026290412353e-15,3.68120716442303e-12
"ENSMUSG00000122849",60.1103118212084,1.63696177889237,0.2095004775578,7.81364223115314,5.55586541516564e-15,3.95039953164777e-12
