"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plpp4",64.3909843599897,1.67265936239899,0.203652982682178,8.21328192874715,2.15223416073941e-16,4.73190202580167e-12
"Gm57304",60.5163061215183,1.83484528322311,0.229890972204932,7.98137162858,1.44716035162676e-15,7.95431687271649e-12
"Slc30a10",36.75,-8.64557278560417,1.07946518780407,-8.00912607769375,1.15526428114827e-15,7.95431687271649e-12
"Uroc1",38.625,-8.7173632989764,1.08344820351131,-8.04594374767947,8.55832995918314e-16,7.95431687271649e-12
"Gm35040",35.25,-8.58545178129018,1.08334476912746,-7.92494875680717,2.28240433781835e-15,9.33139759412618e-12
"Pla2g12b",35.125,-8.58032672929131,1.08456193450037,-7.9113294099189,2.54654714658224e-15,9.33139759412618e-12
"Grid1",35,-8.57518333275878,1.08922601124366,-7.87273095229132,3.46982323681311e-15,1.08982190977962e-11
"Slit1",34.75,-8.56484133640752,1.09224577340516,-7.84149643326704,4.45208576132488e-15,1.22354446935611e-11
"Bmp8b",33.625,-8.51736267205793,1.09276828690277,-7.79429891418121,6.47670639933691e-15,1.41957017371657e-11
"Npas1",33.375,-8.50659624873638,1.09302122977441,-7.78264503653978,7.10237055893856e-15,1.41957017371657e-11
"Stk31",34.375,-8.54918800798099,1.09612405929566,-7.79947117799285,6.21671359736965e-15,1.41957017371657e-11
"Fthl17a",32.875,-8.48481919113016,1.09966622942511,-7.71581318412032,1.20213284295119e-14,2.20250772376041e-11
"BC006965",64.7670967644796,1.53394698583051,0.200149789181949,7.66399501143643,1.80236897818154e-14,2.93280663656578e-11
"Pcdh15",30.875,-8.39426762219508,1.09593814479839,-7.65943558223287,1.86751991776226e-14,2.93280663656578e-11
"Cpb2",30.625,-8.38253827531064,1.09918596394166,-7.62613292954632,2.41900397876778e-14,3.5456147651459e-11
"Cyp2d26",31.25,-8.41168443543431,1.10626219499602,-7.60369871942031,2.87784794388463e-14,3.72190381730867e-11
"Dlx6os1",30.75,-8.38841476072259,1.10267454673449,-7.6073350795703,2.79805214669699e-14,3.72190381730867e-11
"Pld5",29.375,-8.32241727791649,1.10289920190085,-7.54594550759738,4.49017781225964e-14,5.48450274335225e-11
"Hcrtr2",29,-8.30388134790081,1.10295917448607,-7.52872956677664,5.12363743490425e-14,5.92885750756867e-11
"Sult6b1",28.75,-8.29139039296772,1.10419978629872,-7.50895851987119,5.95996048733342e-14,6.55178456372562e-11
"C030014I23Rik",27.5,-8.22726025404572,1.0984429664081,-7.489929387002,6.89106784060195e-14,7.21461988302259e-11
"Stk33",27.125,-8.20745181142628,1.09774767624469,-7.47662872719832,7.62534476750199e-14,7.62049227537721e-11
"5430437J10Rik",41.6659536619206,2.37097874390098,0.31769239958659,7.46312705933887,8.44927964687187e-14,8.07677662244021e-11
"3300002A11Rik",28,-8.2532551307984,1.11279035364183,-7.41672059232714,1.20055846622594e-13,1.09981160160181e-10
"Disp3",26.25,-8.16014608528531,1.10108034650103,-7.41103599861381,1.25316558691142e-13,1.10208394375338e-10
"ENSMUSG00000133905",28.75,-8.29139005931284,1.12007512125584,-7.4025303320874,1.33613660534451e-13,1.1298576694271e-10
"Gm27204",28.375,-8.27244851056836,1.12049616842442,-7.38284408611646,1.54943437790111e-13,1.26169867527903e-10
"Nol4",27,-8.20078780066893,1.11161747777952,-7.37734694226849,1.614748346797e-13,1.26792346973853e-10
"Gm4316",26.75,-8.18736732408448,1.11053908443034,-7.37242609366085,1.6755048510714e-13,1.27026378122951e-10
"Gm10382",26.375,-8.16699939780664,1.11793258999363,-7.30544888923328,2.7634261128757e-13,2.02522288392284e-10
"Phgr1",24.625,-8.06795237860464,1.10698145625665,-7.28824528451192,3.14017890998897e-13,2.22709591983927e-10
"Mgat4c",23.625,-8.00814319443446,1.10024564843684,-7.27850476465137,3.37540313750623e-13,2.31911291816287e-10
"ENSMUSG00000132357",24.875,-8.08252507176983,1.11134381543971,-7.27274940435235,3.52243413681809e-13,2.34679505854796e-10
"E230013L22Rik",27.875,-8.2467996405468,1.13513822757112,-7.26501798656951,3.72988637331806e-13,2.41192005305209e-10
"Gm12781",23.75,-8.01575621533572,1.10779212631762,-7.23579453663445,4.62811541099223e-13,2.90192225996114e-10
"Gm56652",55.1502053574375,1.92436997813214,0.266082895216616,7.23221978085261,4.75162382236882e-13,2.90192225996114e-10
"Gm45027",22.25,-7.92163438698953,1.09625015872942,-7.22611926111,4.9699133595676e-13,2.95320311144468e-10
"ENSMUSG00000132157",24.875,-8.08252490166196,1.11958536838177,-7.21921269241333,5.22894172830386e-13,3.02535560101286e-10
"ENSMUSG00000136515",22.875,-7.9616005598206,1.10545160857576,-7.20212490357508,5.92813487761084e-13,3.34194803638851e-10
"Gm15513",25.625,-8.12538009796182,1.13077288941867,-7.18568704113436,6.68700600179982e-13,3.67551284888927e-10
"Grm1",22.25,-7.92163423944904,1.10358438604112,-7.17809561248527,7.06891203545823e-13,3.79066097589231e-10
"D130043K22Rik",22.875,-7.96160044436224,1.11112811153737,-7.16533076761639,7.75989632764175e-13,4.06212096808408e-10
"Cfap141",23,-7.96946250845586,1.11328073803825,-7.15853803641578,8.15419649114443e-13,4.1692596291698e-10
"Gm49685",21,-7.83821844037236,1.09823794873092,-7.13708577401636,9.53303635258128e-13,4.65762971661894e-10
"Gm53207",21.5,-7.8721656430408,1.10263204050738,-7.13943124618287,9.37178799658753e-13,4.65762971661894e-10
"A730036I17Rik",24.75,-8.07525665607814,1.13213946391284,-7.13274019100868,9.83901717228667e-13,4.70262242499771e-10
"Fstl5",25.625,-8.12537989901437,1.13977336736719,-7.1289434651237,1.01142263058995e-12,4.73130594811715e-10
"Apol11b",22.5,-7.93775364875887,1.11522813426558,-7.11760527274195,1.09818336913448e-12,5.03013740703972e-10
"A930018P22Rik",20.25,-7.78575099164049,1.10291188394947,-7.05926838303721,1.67381516802234e-12,7.50014879874509e-10
"E130215H24Rik",20.5,-7.8034529134856,1.10582991657724,-7.05664840180741,1.70566469543007e-12,7.50014879874509e-10
"Gm34719",19.875,-7.75878402164349,1.10066327408598,-7.04918952445885,1.7996289761001e-12,7.75816522912488e-10
"G430095P16Rik",21.875,-7.89711155983203,1.12294624358878,-7.03249296653237,2.02875536469462e-12,8.41588970720301e-10
"Tmem212",19.25,-7.71268774572703,1.0964708644738,-7.03410185862837,2.00548584010717e-12,8.41588970720301e-10
"Hectd2os",22.5,-7.93775335325274,1.1299191164095,-7.02506333238809,2.13969170965469e-12,8.71171517193854e-10
"Kcnh8",21.875,-7.89711150376912,1.12575118403106,-7.01497063986322,2.29997247754262e-12,9.19403543477312e-10
"Kcnmb2",19.5,-7.73130325386936,1.10395387153584,-7.0032846962287,2.50030026932825e-12,9.81635745025909e-10
"ENSMUSG00000141379",18.75,-7.67471989821801,1.0986927478947,-6.98531951987868,2.8420840579163e-12,1.09624666837452e-09
"Dcst1",20.625,-7.81222283125386,1.11989450241632,-6.97585604215218,3.04013908643112e-12,1.15242237852198e-09
"Gm57021",23.25,-7.98505862347447,1.14787694236091,-6.95637165343793,3.4914804371607e-12,1.28714937722531e-09
"Kctd8",20.625,-7.812222766284,1.12316878029346,-6.95551986785354,3.51264271052117e-12,1.28714937722531e-09
"Galntl6",19.625,-7.74052154781031,1.11529174105078,-6.94035583955595,3.91113514352117e-12,1.40967569287634e-09
"4921504A21Rik",20.75,-7.82093987935181,1.12790589139353,-6.93403584379638,4.09000950248423e-12,1.45037014389707e-09
"5330439K02Rik",19.375,-7.72202520533841,1.11641595425995,-6.91679940247465,4.61961491087694e-12,1.61217227667524e-09
"Rit2",18.875,-7.6843056520055,1.11310734838043,-6.90347221513372,5.07465857291831e-12,1.74330380287784e-09
"Gm17202",21.75,-7.88884351331645,1.14417176601286,-6.8948070103207,5.39379778398608e-12,1.8244313550572e-09
"Gm41804",23.25,-7.98505828642149,1.16371198930805,-6.861713516563,6.80394105519736e-12,2.26653709150862e-09
"Lingo2",18.125,-7.62581000418624,1.11682289608425,-6.82812828329674,8.60296431028661e-12,2.82305631829793e-09
"ENSMUSG00000126446",19.875,-7.75878329336685,1.13690079944357,-6.82450333148167,8.82300268763018e-12,2.85268436897408e-09
"Gm32647",20.125,-7.77681708573005,1.14211555834003,-6.80913330436808,9.81884668088929e-12,3.10181302940463e-09
"Gm57413",17.25,-7.55442560053857,1.10959014572217,-6.80830271399158,9.87568962332047e-12,3.10181302940463e-09
"Gm21984",17,-7.53336401453929,1.10942323933291,-6.7903427181398,1.11867476148041e-11,3.43244951511693e-09
"Wt1os",17.125,-7.54393321095742,1.11109316241052,-6.7896495687102,1.12406242649149e-11,3.43244951511693e-09
"Gm32624",17.25,-7.55442550409556,1.11460556848967,-6.7776671117228,1.22131849647277e-11,3.67834362513019e-09
"A230077H06Rik",15.25,-7.37663908725245,1.08921905513665,-6.77241097873282,1.26653738591667e-11,3.74106347043167e-09
"Gm41555",16.375,-7.4793243318275,1.10474214309771,-6.77019916236324,1.28605235268977e-11,3.74106347043167e-09
"Prr18",16.125,-7.45712867323982,1.10159400972782,-6.76939835128762,1.29319031998911e-11,3.74106347043167e-09
"ENSMUSG00000128528",17.375,-7.56484204168575,1.11801996173327,-6.76628530850017,1.32130865571652e-11,3.77276520838746e-09
"ENSMUSG00000141578",23.375,-7.99279350390733,1.18316537527086,-6.75543222525217,1.4241006696434e-11,3.96332624338984e-09
"Flacc1",16.375,-7.47932428918991,1.1069717515778,-6.7565629190893,1.4130363342228e-11,3.96332624338984e-09
"Gm19696",17,-7.53336389736598,1.11554023509266,-6.75310818954035,1.447109473063e-11,3.97701860934538e-09
"Cntn5",15,-7.35279236827795,1.08952193935487,-6.7486409430467,1.49236388881283e-11,4.00135517798034e-09
"ENSMUSG00000124676",15.125,-7.36476496241865,1.09129133780452,-6.74866986228921,1.49206651885748e-11,4.00135517798034e-09
"Gm49668",16.625,-7.50118356108826,1.11404260753691,-6.73330042346676,1.65857108493518e-11,4.3934149245042e-09
"Gm32261",17.625,-7.585452096818,1.12786509891849,-6.72549589848262,1.74995422030377e-11,4.58029684376174e-09
"Gm48691",15.375,-7.38841599589706,1.10221328624589,-6.70325434114643,2.03828229557475e-11,5.27219700594194e-09
"ENSMUSG00000121350",17.125,-7.54393291551013,1.12610463916513,-6.69914025139177,2.0964930802017e-11,5.35970893736217e-09
"ENSMUSG00000132294",14.25,-7.27879190817414,1.08777270256674,-6.69146402644496,2.20948821788406e-11,5.58365608717229e-09
