"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm15421",53.6638859630092,2.3846668224082,0.274816230166538,8.67731436736142,4.05223869920746e-18,8.90276842215878e-14
"ENSMUSG00000141156",53.9167663586135,2.60198780578196,0.307501612807987,8.46170458106413,2.6349732184407e-17,2.8945180804571e-13
"Scgb2b27",44,-8.90444210688876,1.08195073089797,-8.22998853145421,1.87231367984881e-16,1.37115771820928e-12
"Arhgef33",40.375,-8.78040069207305,1.09360048412147,-8.0288924699285,9.83565160178344e-16,5.40223164227956e-12
"Slc2a2",38.5,-8.71179685336271,1.09788895447101,-7.93504371993637,2.10421187280665e-15,8.62704412938137e-12
"Slc45a1",38.625,-8.71647326851053,1.10042559709941,-7.92100192097142,2.35604300301722e-15,8.62704412938137e-12
"Cplx1",37.25,-8.66417874461463,1.10364844191778,-7.85048790497012,4.14421840923361e-15,1.13810598063578e-11
"Rhd",37.75,-8.6834149258521,1.10413621490783,-7.86444173156387,3.70747106995756e-15,1.13810598063578e-11
"Them7",35.75,-8.60488153677018,1.10755553913549,-7.76925511427336,7.89490169776989e-15,1.9272332255556e-11
"Fmr1nb",35.375,-8.58966842258695,1.10910795865142,-7.74466394870275,9.58349674979223e-15,1.96195231628249e-11
"Slc30a3",35.875,-8.60991700023925,1.11217328331719,-7.7415247510344,9.8231567952241e-15,1.96195231628249e-11
"Csmd2",32.875,-8.48392921830951,1.11261090546706,-7.62524362885701,2.43573929279689e-14,4.4594326885623e-11
"Dnah9",33,-8.48940406991687,1.12315082699227,-7.5585610283981,4.07552786338835e-14,6.39566765418871e-11
"Myt1l",31.875,-8.43936363587863,1.1161023153722,-7.56146055755134,3.98568282524504e-14,6.39566765418871e-11
"Apoh",31.875,-8.4393634672401,1.12268922084085,-7.51709672683896,5.60059828550488e-14,7.79000964412175e-11
"Gm14091",30.875,-8.39337747373632,1.11682199857,-7.51541202132779,5.67319773809504e-14,7.79000964412175e-11
"Inhca",31.75,-8.43369470457441,1.12347920123468,-7.506765319114,6.06062343204127e-14,7.83246451776157e-11
"Fsip1",30,-8.3519007983943,1.12057111949561,-7.45325366064549,9.10659522254942e-14,1.11151053910784e-10
"Celf6",30.125,-8.35789944395955,1.1239953767701,-7.43588418306197,1.03870815848487e-13,1.20107464431119e-10
"Lrrc24",28.75,-8.29050041919233,1.11727952767688,-7.42025626875174,1.16893933563862e-13,1.28407986019902e-10
"Scn1a",29.75,-8.33982771112716,1.1312488021176,-7.37223119751884,1.67795686977047e-13,1.75546249661225e-10
"Gm1604a",28.375,-8.27155870598572,1.12425570896409,-7.35736420107424,1.87577069160029e-13,1.87321282247538e-10
"H2-T13",30.375,-8.36982221967639,1.13868528091415,-7.35042628544122,1.97575718142363e-13,1.88727762069031e-10
"Lsmem1",27.75,-8.23942615678681,1.12313732493603,-7.33608079248551,2.19939282975867e-13,2.01336085290825e-10
"Gm12454",27,-8.19989795065095,1.11893422785559,-7.32831094671746,2.33071449180434e-13,2.04823189539765e-10
"Gm49871",27.875,-8.2459100655937,1.12775948556297,-7.31176298772375,2.63659878576663e-13,2.2279259739728e-10
"E130018N17Rik",26.375,-8.16610969861429,1.11828417146344,-7.30235650919366,2.82770809832272e-13,2.30091655259815e-10
"Ush1c",27.25,-8.21319458340695,1.12583864633116,-7.2951791184037,2.98262009161325e-13,2.34029155045511e-10
"A330049N07Rik",26.75,-8.18647730247334,1.12499757566939,-7.27688439470839,3.41617759431365e-13,2.58804902576107e-10
"Tbr1",27,-8.19989771978693,1.1282089346901,-7.26806663877319,3.64668898815862e-13,2.67059190232816e-10
"Cacng3",26.125,-8.15236940302364,1.12869217452995,-7.22284568546668,5.09107761010039e-13,3.19574214554016e-10
"ENSMUSG00000141422",25.875,-8.13849732807716,1.12543897771427,-7.23139813817909,4.78046592462762e-13,3.19574214554016e-10
"Nol4",27,-8.1998975429751,1.13526847653461,-7.22287081202606,5.09013665102651e-13,3.19574214554016e-10
"Tesmin",25.75,-8.13151091986091,1.12493021392046,-7.22845810276712,4.88508486763902e-13,3.19574214554016e-10
"Thsd7b",25.375,-8.11034638963081,1.12286004223216,-7.22293614928899,5.08769064926734e-13,3.19574214554016e-10
"Gm4316",26.75,-8.18647707538609,1.13409408386029,-7.21851669265436,5.25576865735615e-13,3.20747881672541e-10
"Rfx4",24.75,-8.07436705195698,1.12650782158851,-7.16760851298055,7.63191706144381e-13,4.53170859026812e-10
"Gm10382",26.375,-8.16610913006505,1.14114294804561,-7.15607903817031,8.3017290384887e-13,4.67664069168197e-10
"Plet1os",26.75,-8.18647683308881,1.14377531476306,-7.15741695717982,8.22113593512972e-13,4.67664069168197e-10
"Fam228a",23.375,-7.99190515809948,1.12015895955857,-7.13461700225912,9.70570264385272e-13,4.89337219887143e-10
"Mgat4c",23.625,-8.00725305270817,1.12218722184967,-7.13539852958762,9.65071309996251e-13,4.89337219887143e-10
"Mylk4",24.875,-8.08163488396767,1.13294708861896,-7.13328536270747,9.8001081816269e-13,4.89337219887143e-10
"Phgr1",24.625,-8.06706218762822,1.12951134603668,-7.14208158770125,9.19280033193559e-13,4.89337219887143e-10
"Spehd",25.375,-8.11034605584558,1.13637176803942,-7.1370534572839,9.53527699665886e-13,4.89337219887143e-10
"E230013L22Rik",27.875,-8.24590929833371,1.15853479164791,-7.11753272994477,1.09876133350464e-12,5.36439699935489e-10
"Gpr158",22.875,-7.96071059758218,1.11936314699136,-7.11182123422508,1.14521539324958e-12,5.46964830210723e-10
"ENSMUSG00000134065",24,-8.02997287438844,1.13137662512079,-7.09752411009124,1.27011654412543e-12,5.93711924987994e-10
"Gm45027",22.25,-7.92074429678909,1.11714599762006,-7.09016038518083,1.33956662176349e-12,6.13130805836331e-10
"9030622O22Rik",22.25,-7.92074411787896,1.12463354705353,-7.04295558195897,1.88204239537836e-12,7.95162912047357e-10
"Gm53660",27.125,-8.20656050790864,1.16490542104103,-7.04482987174593,1.85688242352568e-12,7.95162912047357e-10
"Gm57200",26.25,-8.15925505255946,1.15811986628301,-7.04525955395844,1.85116113955748e-12,7.95162912047357e-10
"Spdya",23.875,-8.02243904563836,1.13818147241306,-7.04847095132377,1.80894503020122e-12,7.95162912047357e-10
"D130043K22Rik",22.875,-7.96071028384367,1.13236641846974,-7.03015398019452,2.06305736115048e-12,8.55195664612754e-10
"Kcnh6",22,-7.9044423159334,1.12512656947376,-7.02538054863503,2.13483584715098e-12,8.68561917813095e-10
"Vwc2l",22.875,-7.9607102478966,1.13384924345555,-7.02096005606119,2.203488494402e-12,8.80193494945671e-10
"ENSMUSG00000142011",21.25,-7.85440181922112,1.1201646698374,-7.01182784167014,2.35224540967366e-12,9.22836279473754e-10
"Il1rapl2",21.125,-7.84589034777786,1.11944642868396,-7.00872337142708,2.4050242386146e-12,9.26989167058995e-10
"Fstl5",25.625,-8.12448957356835,1.16194809584412,-6.99212779178934,2.70748084010765e-12,1.02557506995112e-09
"Apol11b",22.5,-7.93686348621066,1.1360407479245,-6.98642500342614,2.81979024018811e-12,1.05001341655818e-09
"BC006965",63.7960828177453,1.50456791865708,0.216735513767828,6.94195377813718,3.8671375845499e-12,1.39280348741904e-09
"ENSMUSG00000126073",21.125,-7.84589009986846,1.12990052119735,-6.94387687471301,3.8148302234354e-12,1.39280348741904e-09
"A930018P22Rik",20.25,-7.78486093882614,1.12189906522307,-6.93900296394156,3.94876849527444e-12,1.39926522324483e-09
"A330008L17Rik",20.25,-7.78486090524362,1.1233298522326,-6.9301647149956,4.2035089700871e-12,1.46215743844391e-09
"Ralyl",19.75,-7.74879181373061,1.11842656392935,-6.92829736313389,4.25935712609968e-12,1.46215743844391e-09
"Tmem212",19.25,-7.71179774741804,1.11445837907697,-6.91977187502076,4.52371519303947e-12,1.52901573524734e-09
"Gm9962",20.375,-7.79373890029784,1.12945264437956,-6.9004565521905,5.18356738505904e-12,1.72549962802647e-09
"Kcnmb2",19.5,-7.73041322256409,1.12214624560226,-6.88895342550928,5.62043349692884e-12,1.84299886458995e-09
"ENSMUSG00000129238",18.75,-7.67382990892515,1.11613981675841,-6.87533030692533,6.18463878602928e-12,1.93788794409725e-09
"Gm49496",19.125,-7.70239892361091,1.12044637571392,-6.87440210487818,6.2250389119931e-12,1.93788794409725e-09
"Hapln2",20.75,-7.82004996017595,1.13709247908091,-6.87723303428825,6.10262394251534e-12,1.93788794409725e-09
"Kcnj14",19.25,-7.71179757401303,1.12195367513985,-6.87354366306769,6.26263286440166e-12,1.93788794409725e-09
"Hnf4aos",18.125,-7.62492051048974,1.11011545923415,-6.86858330551492,6.48426041263888e-12,1.97860001757884e-09
"Dcst1",20.625,-7.81133271240026,1.13891859009605,-6.85855229717646,6.95618665844055e-12,2.09352631350601e-09
"Gm30262",19.5,-7.73041309400013,1.1276612164915,-6.85526200683906,7.11819348676464e-12,2.1133339311381e-09
"4930479D17Rik",23.625,-8.00725177693121,1.17369441017965,-6.82226285435371,8.96174935348716e-12,2.62519511061484e-09
"Gm19522",19.25,-7.71179735734361,1.13127406679228,-6.81691341092117,9.3017288793325e-12,2.68893399314388e-09
"Gm2093",20,-7.7669386274508,1.140152253114,-6.81219425408988,9.61211904488675e-12,2.74257474566444e-09
"Kcnj6",18.75,-7.67382965815356,1.12701524256042,-6.80898480194439,9.82898612535837e-12,2.76849775864261e-09
"Nmbr",17.75,-7.59475826464688,1.12398244392483,-6.75700791030753,1.40870502551969e-11,3.91762650767943e-09
"Gm56907",18.375,-7.64468318935507,1.13413751760702,-6.74052579222054,1.57814485397558e-11,4.33398030523044e-09
"Lingo2",18.125,-7.6249199832048,1.13322222327962,-6.72853022696445,1.71385398382776e-11,4.64856444749332e-09
"ENSMUSG00000130177",17.375,-7.5639522094644,1.12620477680955,-6.71632048204635,1.86370659550753e-11,4.99336998820737e-09
"Urad",19,-7.69293800074793,1.14696760432851,-6.70719728413928,1.98397959584923e-11,5.2515700868443e-09
"ENSMUSG00000142523",20.125,-7.77592692126281,1.15987832223723,-6.70408849978694,2.0266741273324e-11,5.30071792589199e-09
"ENSMUSG00000143754",18.5,-7.65446396111566,1.1446688388289,-6.68705541853211,2.27705667429185e-11,5.81708548071998e-09
"Gm49573",16.25,-7.46737929941196,1.11643376912591,-6.68860035043406,2.25315118892891e-11,5.81708548071998e-09
"Gm32624",17.25,-7.55353552215717,1.13001453144549,-6.68445874983119,2.31779675564431e-11,5.85310284155235e-09
"ENSMUSG00000130774",16.375,-7.4784344069351,1.11940743717635,-6.68070816627688,2.37790342845012e-11,5.86994812618529e-09
"Gm41555",16.375,-7.47843440813548,1.11935324005242,-6.68103163554095,2.3726599643699e-11,5.86994812618529e-09
"Gm39228",15.375,-7.38752629321874,1.10752025171192,-6.67033066149322,2.55227715933656e-11,6.23039213229159e-09
"Gm19696",17,-7.5324739238398,1.13055780277244,-6.66261725439258,2.68993550260229e-11,6.42368293393176e-09
"Grm4",19.375,-7.7211345587227,1.15866229049239,-6.66383520209458,2.66772594543946e-11,6.42368293393176e-09
"Gm41361",16.25,-7.46737916482689,1.1224905133147,-6.65250982191003,2.88136584313073e-11,6.8068395240411e-09
"ENSMUSG00000129324",17.25,-7.55353537209299,1.13677983621676,-6.6446774753073,3.03881750559471e-11,7.10242772318253e-09
"ENSMUSG00000130994",19,-7.69293771450706,1.15841081093331,-6.64094088375179,3.11687039831835e-11,7.20817291063729e-09
"ENSMUSG00000122073",16,-7.44501140199835,1.12159127143204,-6.63790062532549,3.18182248077185e-11,7.28173332318308e-09
"2700069I18Rik",16.375,-7.47843423435615,1.12719075971549,-6.63457730636804,3.25433756801153e-11,7.37090684218693e-09
"ENSMUSG00000127047",18.5,-7.65446370353373,1.15503517549073,-6.6270394754702,3.42486068900813e-11,7.60042316540492e-09
"Gm28635",17.25,-7.55353530970076,1.13970914057493,-6.62759913102947,3.41190505308857e-11,7.60042316540492e-09
"5330434G04Rik",21.125,-7.84588874562362,1.18535884404421,-6.61899878255854,3.61639830336452e-11,7.60640741466053e-09
"Gm2824",14.5,-7.30299298111718,1.10341520295509,-6.61853576202215,3.62774153324305e-11,7.60640741466053e-09
"Gm28756",15.125,-7.36387496509973,1.11168674295529,-6.62405575290364,3.49474853054273e-11,7.60640741466053e-09
"Gm3294",20.375,-7.79373773696415,1.17761690017677,-6.61822850520762,3.63528802248227e-11,7.60640741466053e-09
"Gm48691",15.375,-7.38752611968417,1.11544847445897,-6.6229200979161,3.52171408770674e-11,7.60640741466053e-09
"Spats1",16.875,-7.52182656830933,1.13634219276539,-6.61933228933819,3.60824945520181e-11,7.60640741466053e-09
"ENSMUSG00000131361",18.5,-7.65446362431618,1.15837293092172,-6.60794414301921,3.89693655615387e-11,8.07695246591515e-09
"Gm2999",13.75,-7.22637196387369,1.09556877799265,-6.59600027769519,4.2239813148579e-11,8.67297845676897e-09
"Hs3st4",18,-7.61493537526244,1.15596369863162,-6.58752120354357,4.47230132233063e-11,9.09782037514852e-09
"ENSMUSG00000142054",17.25,-7.55353512731908,1.14708173468724,-6.58500166021614,4.54880308032856e-11,9.1685507958549e-09
"Gm15494",14.25,-7.27790197094899,1.10628357039416,-6.57869479916071,4.74595800660933e-11,9.47897249138246e-09
"Zfp936",13.875,-7.23942798908463,1.10082125854981,-6.57638824909834,4.8201295613193e-11,9.54038256416081e-09
"ENSMUSG00000125280",17.875,-7.6048816938144,1.15730137556626,-6.57121978282744,4.99047323764592e-11,9.78934794920366e-09
"ENSMUSG00000141906",16.875,-7.52182634196297,1.1458289376381,-6.5645281724755,5.21978753672828e-11,1.00595379106948e-08
"Tnni3k",17.375,-7.56395160824776,1.15224031680993,-6.5645607933501,5.21864503578661e-11,1.00595379106948e-08
