Gene,rep_1,rep_2,rep_3,rep_4
0610005C13Rik,55,54,64,69
0610009E02Rik,61,62,61,58
0610009L18Rik,89,92,87,87
0610010K14Rik,95,95,95,95
0610012D04Rik,0,0,0,0
0610030E20Rik,89,85,89,93
0610038B21Rik,54,59,53,55
0610039K10Rik,100,100,100,100
0610040B10Rik,100,100,100,100
0610040F04Rik,100,100,100,100
0610040J01Rik,87,87,91,90
0610043K17Rik,65,54,54,56
1010001B22Rik,100,100,100,100
1110002E22Rik,94,85,92,88
1110002J07Rik,66,63,66,65
1110002L01Rik,80,80,83,78
1110002O04Rik,100,100,100,100
1110004F10Rik,99,99,99,99
1110006O24Rik,0,0,0,0
1110015O18Rik,96,61,90,86
1110018N20Rik,63,66,58,68
1110019D14Rik,96,94,94,94
1110020A21Rik,100,100,100,100
1110025M09Rik,0,0,0,0
1110028F11Rik,100,100,100,100
1110032F04Rik,0,0,0,0
1110038B12Rik,99,99,96,94
1110038F14Rik,98,98,98,98
1110046J04Rik,100,100,100,100
1110059E24Rik,96,96,96,96
1110059G10Rik,99,99,99,100
1110060G06Rik,0,0,0,0
1110065P20Rik,98,98,97,98
1190001M18Rik,0,0,0,0
1190005I06Rik,100,100,100,100
1190028D05Rik,100,100,100,100
1200007C13Rik,0,0,0,0
1300002E11Rik,91,91,90,91
1300014J16Rik,27,34,34,30
1500002C15Rik,75,75,78,80
1500002F19Rik,100,100,100,100
1500004A13Rik,61,70,81,62
1500009L16Rik,93,94,99,98
1500015A07Rik,94,95,94,96
1500026H17Rik,100,100,100,100
1500032F14Rik,100,100,100,100
1500035N22Rik,100,100,100,100
1600010M07Rik,100,100,100,100
1600012H06Rik,98,98,98,98
1600012P17Rik,79,88,86,81
1600014C10Rik,96,96,96,95
1600020E01Rik,96,96,97,96
1600023N17Rik,0,0,0,0
1600025M17Rik,99,99,99,66
1600029O15Rik,0,0,0,0
1700001G11Rik,22,18,19,25
1700001G17Rik,0,0,0,0
1700001J03Rik,76,60,62,66
1700001L05Rik,65,68,70,64
1700001O22Rik,32,55,44,41
1700003D09Rik,100,100,100,100
1700003E16Rik,79,63,70,76
1700003F12Rik,32,39,39,39
1700003G18Rik,100,100,100,100
1700003M07Rik,100,100,100,100
1700006F04Rik,0,0,0,0
1700007F19Rik,100,100,100,100
1700007L15Rik,93,95,95,96
1700008A23Rik,0,0,0,0
1700008J07Rik,100,100,100,100
1700008O03Rik,45,26,38,33
1700010I14Rik,62,57,68,55
1700010K24Rik,0,0,0,0
1700011L03Rik,100,100,100,100
1700012B09Rik,100,100,100,100
1700012C14Rik,100,100,100,100
1700012D16Rik,0,0,0,0
1700014B07Rik,0,0,0,0
1700016A09Rik,0,0,0,0
1700016H13Rik,100,100,100,100
1700016J18Rik,100,100,100,100
1700016P03Rik,37,28,31,32
1700017B05Rik,89,88,89,89
1700017J07Rik,100,100,100,100
1700017L05Rik,100,100,100,100
1700018A04Rik,100,100,100,100
1700018L02Rik,0,0,0,0
1700018P22Rik,32,22,43,32
1700019A02Rik,0,0,0,0
1700019D03Rik,93,98,98,98
1700019G24Rik,100,100,100,100
1700019L13Rik,100,100,100,100
1700020L13Rik,100,100,100,100
1700020L24Rik,100,100,100,100
1700020N18Rik,100,100,100,100
1700022N22Rik,100,100,100,100
1700023H06Rik,100,100,100,100
1700024G13Rik,100,100,100,100
1700024P12Rik,0,0,0,0
1700025G04Rik,97,96,97,97
1700025M24Rik,100,100,100,100
1700026N04Rik,50,63,41,42
1700027J07Rik,38,29,42,39
1700028E10Rik,61,69,60,64
1700028E11Rik,84,86,85,84
1700028J19Rik,28,16,26,28
1700028K03Rik,100,100,100,100
1700028N14Rik,0,0,0,0
1700029K24Rik,68,67,66,72
1700030C10Rik,50,49,58,49
1700030F04Rik,100,100,100,100
1700030J22Rik,92,87,90,92
1700030K09Rik,92,91,92,91
1700030M09Rik,100,100,100,100
1700031C06Rik,100,100,100,100
1700034H15Rik,47,37,55,48
1700034P13Rik,100,100,100,100
1700036A12Rik,100,100,100,100
1700037C18Rik,84,80,86,82
1700037F03Rik,16,19,22,19
1700039M10Rik,0,0,0,0
1700040D17Rik,100,100,100,100
1700040L08Rik,28,28,33,38
1700042D02Rik,100,100,100,100
1700047K16Rik,0,0,0,0
1700047M11Rik,37,37,25,36
1700048O20Rik,85,91,67,66
1700052K11Rik,67,69,65,65
1700055D18Rik,100,100,100,100
1700056E22Rik,100,100,100,100
1700056N10Rik,31,33,30,32
1700060J05Rik,100,100,100,100
1700061A03Rik,0,0,0,0
1700061E17Rik,100,100,100,100
1700063H04Rik,45,42,47,38
1700063J08Rik,0,0,0,0
1700064H15Rik,100,100,100,100
1700064N11Rik,100,100,100,100
1700066M21Rik,92,92,94,93
1700067K01Rik,28,15,22,27
1700072O05Rik,100,100,100,100
1700080G18Rik,0,0,0,0
1700081N11Rik,100,100,100,100
1700082M22Rik,100,100,100,100
1700084C06Rik,73,64,73,73
1700084E18Rik,100,100,100,100
1700085D22Rik,61,62,64,63
1700086D15Rik,0,0,0,0
1700086L19Rik,81,92,94,91
1700086O06Rik,64,67,70,68
1700086P04Rik,43,59,47,34
1700087I21Rik,78,82,81,81
1700088E04Rik,93,94,93,90
1700092K14Rik,100,100,100,100
1700093J21Rik,19,33,25,22
1700094M23Rik,26,27,22,30
1700095J03Rik,33,30,27,31
1700096K18Rik,0,0,0,0
1700097N02Rik,100,100,100,100
1700101I11Rik,100,100,100,100
1700102H20Rik,100,100,100,100
1700102P08Rik,85,83,83,79
1700105P06Rik,50,50,48,41
1700108F19Rik,100,100,100,100
1700108N11Rik,0,0,0,0
1700109H08Rik,43,43,47,48
1700110C19Rik,72,60,70,71
1700110K17Rik,0,0,0,0
1700112D23Rik,100,100,100,100
1700112J16Rik,100,100,100,100
1700113A16Rik,53,57,58,65
1700120B22Rik,62,47,45,46
1700120C14Rik,91,86,88,83
1700120K04Rik,0,0,0,0
1700121C10Rik,100,100,100,100
1700122E12Rik,100,100,100,100
1700123M08Rik,71,73,76,70
1700123O20Rik,94,93,94,95
1700124L16Rik,79,67,68,70
1700124M09Rik,100,100,100,100
1700125G22Rik,0,0,0,0
1810008I18Rik,59,80,83,76
1810009A15Rik,99,99,100,99
1810010H24Rik,89,85,89,84
1810010K12Rik,100,100,100,100
1810012K08Rik,26,20,19,24
1810012K16Rik,45,52,42,42
1810014B01Rik,100,100,100,100
1810017P11Rik,0,0,0,0
1810019D21Rik,69,75,67,74
1810019N24Rik,100,100,100,100
1810021B22Rik,70,65,73,61
1810024B03Rik,79,82,79,77
1810028F09Rik,0,0,0,0
1810030O07Rik,92,92,93,93
1810034E14Rik,90,84,84,76
1810037I17Rik,98,98,98,98
1810041H14Rik,100,100,100,100
1810044D09Rik,100,100,100,100
1810049J17Rik,0,0,0,0
1810053B23Rik,81,62,57,53
1810055G02Rik,91,91,91,90
1810058N15Rik,100,100,100,100
1810059C17Rik,23,19,28,28
1810059H22Rik,100,100,100,100
1810062G17Rik,44,44,46,51
1810062O18Rik,56,62,64,57
1810064F22Rik,37,50,38,27
1810073O08Rik,100,100,100,100
2010001A14Rik,97,98,97,97
2010001K21Rik,100,100,100,100
2010002M09Rik,0,0,0,0
2010003K11Rik,91,92,93,94
2010004M13Rik,0,0,0,0
2010007H06Rik,74,75,80,78
2010008C14Rik,0,0,0,0
2010010A06Rik,100,100,100,100
2010013B24Rik,100,100,100,100
2010016I18Rik,58,57,61,38
2010103J01Rik,0,0,0,0
2010106G04Rik,0,0,0,0
2010109A12Rik,67,60,62,70
2010109P13Rik,0,0,0,0
2010110E17Rik,0,0,0,0
2010110K18Rik,0,0,0,0
2010204K13Rik,100,100,100,100
2010309G21Rik,26,30,11,31
2010310C07Rik,33,25,41,40
2010315B03Rik,80,83,81,80
2010320M18Rik,0,0,0,0
2200002D01Rik,96,90,94,92
2200002J24Rik,100,100,100,100
2210009P08Rik,0,0,0,0
2210016L21Rik,94,95,96,95
2210022D18Rik,36,29,17,21
2210039B01Rik,62,54,40,64
2210406H18Rik,0,0,0,0
2210408F21Rik,84,83,89,81
2210408I21Rik,96,96,96,96
2210412B16Rik,0,0,0,0
2210417A02Rik,100,100,100,100
2300002M23Rik,100,100,100,100
2300009A05Rik,75,77,77,74
2310001H17Rik,93,87,92,80
2310001K24Rik,100,100,100,100
2310002F09Rik,66,68,73,61
2310002L09Rik,77,81,82,98
2310003L06Rik,100,100,100,100
2310008N11Rik,100,100,100,100
2310009B15Rik,88,90,88,89
2310010J17Rik,94,95,94,94
2310011J03Rik,91,92,93,93
2310014F06Rik,89,83,84,88
2310015A10Rik,86,86,91,89
2310015D24Rik,59,56,44,42
2310016D03Rik,0,0,0,0
2310016G11Rik,28,22,13,15
2310022A10Rik,95,94,95,95
2310022B05Rik,96,96,96,96
2310026I22Rik,0,0,0,0
2310026L22Rik,31,28,27,31
2310030G06Rik,91,92,94,91
2310033P09Rik,83,84,85,83
2310034G01Rik,100,100,100,100
2310034O05Rik,100,100,100,100
2310039H08Rik,0,0,0,0
2310040G07Rik,100,100,100,100
2310040G24Rik,90,93,92,83
2310043M15Rik,75,86,82,98
2310043P16Rik,0,0,0,0
2310047K21Rik,90,90,92,91
2310057J18Rik,100,100,100,100
2310057M21Rik,84,85,88,85
2310058D17Rik,79,75,76,72
2310061I04Rik,95,95,95,95
2310065F04Rik,54,51,45,26
2310068J16Rik,0,0,0,0
2310069B03Rik,100,100,100,100
2310069G16Rik,52,36,51,49
2310074N15Rik,0,0,0,0
2310075C17Rik,0,0,0,0
2310079G19Rik,0,0,0,0
2410002F23Rik,88,87,88,88
2410003L11Rik,53,51,49,47
2410004B18Rik,94,94,94,93
2410004I01Rik,100,100,100,100
2410004P03Rik,69,78,72,77
2410006H16Rik,99,99,99,99
2410018L13Rik,40,38,42,30
2410022M11Rik,0,0,0,0
2410124H12Rik,100,100,100,100
2410137M14Rik,27,28,31,41
2500002B13Rik,86,85,87,86
2500004C02Rik,60,63,66,66
2510002D24Rik,83,84,82,81
2510009E07Rik,91,91,92,91
2510016D11Rik,0,0,0,0
2510017J16Rik,0,0,0,0
2510039O18Rik,90,89,91,89
2510046G10Rik,26,32,41,33
2600006K01Rik,100,100,100,100
2600014E21Rik,100,100,100,100
2610001A08Rik,0,0,0,0
2610005L07Rik,99,99,99,99
2610008E11Rik,93,93,93,93
2610011E03Rik,0,0,0,0
2610012C04Rik,0,0,0,0
2610016A17Rik,100,100,100,100
2610017A05Rik,100,100,100,100
2610020C07Rik,83,85,87,83
2610021A01Rik,95,95,95,94
2610024D14Rik,0,0,0,0
2610027K06Rik,58,41,55,46
2610028D06Rik,0,0,0,0
2610028H24Rik,100,100,100,100
2610029K11Rik,60,52,54,60
2610035D17Rik,80,82,79,61
2610035F20Rik,100,100,100,100
2610037D02Rik,93,93,92,93
2610042L04Rik,100,100,100,100
2610203C22Rik,75,78,76,73
2610204G07Rik,51,48,28,26
2610300M13Rik,100,100,100,100
2610306M01Rik,94,90,93,95
2610306O10Rik,0,0,0,0
2610307P16Rik,72,73,77,76
2610316D01Rik,23,28,31,30
2610318N02Rik,86,80,76,84
2610507I01Rik,0,0,0,0
2610528J11Rik,98,97,98,91
2700016F22Rik,0,0,0,0
2700029L08Rik,0,0,0,0
2700033N17Rik,100,100,100,100
2700038G22Rik,91,90,91,90
2700046A07Rik,100,100,100,100
2700049A03Rik,93,92,92,92
2700052C19Rik,0,0,0,0
2700054A10Rik,100,100,100,100
2700062C07Rik,95,95,94,94
2700068H02Rik,0,0,0,0
2700069I18Rik,35,35,30,37
2700078F05Rik,0,0,0,0
2700097O09Rik,93,93,94,94
2700099C18Rik,74,54,70,68
2810001A02Rik,96,96,97,96
2810001G20Rik,100,100,100,100
2810002D19Rik,84,85,86,83
2810004N23Rik,94,95,95,94
2810013P06Rik,0,0,0,0
2810021J22Rik,92,92,91,90
2810029C07Rik,100,100,100,100
2810030D12Rik,100,100,100,100
2810032G03Rik,79,64,75,75
2810036E18Rik,0,0,0,0
2810402E24Rik,0,0,0,0
2810403D21Rik,87,88,91,90
2810405F17Rik,0,0,0,0
2810407A14Rik,100,100,100,100
2810408A11Rik,89,93,91,92
2810408I11Rik,86,94,90,87
2810414N06Rik,100,100,100,100
2810428J06Rik,0,0,0,0
2810429I04Rik,93,91,82,88
2810430I11Rik,0,0,0,0
2810433D01Rik,100,100,100,100
2810442N19Rik,100,100,100,100
2810449D17Rik,93,81,93,92
